laptop_specs_id,laptop_specs_source,laptop_specs_brand,laptop_specs_name,laptop_specs_cpu,laptop_specs_vga,laptop_specs_ram_amount,laptop_specs_ram_type,laptop_specs_storage_amount,laptop_specs_storage_type,laptop_specs_webcam_resolution,laptop_specs_screen_size,laptop_specs_screen_resolution,laptop_specs_screen_refresh_rate,laptop_specs_screen_brightness,laptop_specs_battery_capacity,laptop_specs_battery_cells,laptop_specs_weight,laptop_specs_default_os,laptop_specs_warranty,laptop_specs_price,laptop_specs_width,laptop_specs_depth,laptop_specs_height,laptop_specs_number_usb_a_ports,laptop_specs_number_usb_c_ports,laptop_specs_number_hdmi_ports,laptop_specs_number_ethernet_ports,laptop_specs_number_audio_jacks,cpu_specs_name,cpu_specs_performance_clockspeed,cpu_specs_performance_turbospeed,cpu_specs_performance_cores,cpu_specs_performance_threads,cpu_specs_efficient_clockspeed,cpu_specs_efficient_turbospeed,cpu_specs_efficient_cores,cpu_specs_efficient_threads,cpu_specs_tdp,cpu_specs_multithread_rating,cpu_specs_single_thread_rating,cpu_specs_l1_instruction_cache,cpu_specs_l1_data_cache,cpu_specs_l2_cache,cpu_specs_l3_cache,cpu_specs_eff_l1_instruction_cache,cpu_specs_eff_l1_data_cache,cpu_specs_eff_l2_cache,cpu_specs_integer_math,cpu_specs_floating_point_math,cpu_specs_find_prime_numbers,cpu_specs_random_string_sorting,cpu_specs_data_encryption,cpu_specs_data_compression,cpu_specs_physics,cpu_specs_extended_instructions,cpu_specs_single_thread,gpu_specs_name,gpu_specs_avg_g3d_mark,gpu_specs_bus_interface,gpu_specs_max_memory_size,gpu_specs_core_clock,gpu_specs_max_direct,gpu_specs_open_gl,gpu_specs_max_tdp,gpu_specs_test_directx_9,gpu_specs_test_directx_10,gpu_specs_test_directx_11,gpu_specs_test_directx_12,gpu_specs_test_gpu_compute
1,phongvu,acer,laptop acer swift 14 ai oled sf14-51-53p9 (ultra 5-226v/ ram 16gb/ onboard/ 1tb ssd/ windows 11),intel core ultra 5 226v,,16.0,ddr5,1024.0,ssd,yes,14.0,2880x1800,90.0,400.0,65.0,3.0,1.2,windows 11 home,12.0,34990000,31.24,22.12,1.59,0.0,2.0,1.0,0.0,0.0,intel core ultra 5 226v,2.10,4.50,4,4,2.10,3.50,4.0,4.0,17.00,19050,3965,4 x 64 kb,4 x 48 kb,4 x 2560 kb,8 mb,4 x 64 kb,4 x 32 kb,1 x 4096 kb,40886,55930,182,22377,13589,178662,1559,15973,3965,,,,,,,,,,,,,
2,phongvu,asus,laptop asus zenbook s 14 ux5406sa-pv140ws (ultra 7-258v/ ram 32gb/ onboard graphics/ 1tb ssd/ windows 11),intel core ultra 7 258v,,32.0,ddr5,1024.0,ssd,yes,14.0,2880x1800,120.0,500.0,72.0,4.0,1.2,windows 11 home,24.0,43790000,31.03,21.47,1.29,0.0,1.0,1.0,0.0,0.0,intel core ultra 7 258v,3.70,4.80,4,4,2.20,3.70,4.0,4.0,17.00,19773,3992,4 x 64 kb,4 x 48 kb,4 x 2560 kb,12 mb,4 x 64 kb,4 x 32 kb,1 x 4096 kb,44536,60763,198,22380,13983,187115,1622,15602,3992,,,,,,,,,,,,,
3,phongvu,asus,laptop asus vivobook 15x oled m3504ya-l1268w (ryzen 5 7530u/ ram 16gb/ onboard graphics/ 512gb ssd/ windows 11),amd ryzen 5 7530u,,16.0,ddr4,512.0,ssd,yes,15.6,1920x1080,,600.0,50.0,3.0,1.7,windows 11 home,24.0,14990000,35.97,23.25,1.79,0.0,1.0,1.0,0.0,0.0,amd ryzen 5 7530u,2.00,4.50,6,12,,,,,15.00,15977,3112,6 x 32 kb,6 x 32 kb,6 x 512 kb,16 mb,,,,59633,31852,48,20023,12214,191138,683,12599,3112,,,,,,,,,,,,,
4,phongvu,acer,laptop acer predator helios neo 14 phn14-51-96hg (ultra 9-185h/ ram 32gb/ geforce rtx™ 4070/ 1tb ssd/ windows 11),intel core ultra 9 185h,geforce rtx 4070,32.0,ddr5,1024.0,ssd,yes,14.5,3072x1920,165.0,400.0,76.0,4.0,1.9,windows 11 home,12.0,58390000,32.41,25.54,2.09,0.0,2.0,1.0,0.0,0.0,intel core ultra 9 185h,2.30,5.10,6,12,1.80,3.80,10.0,10.0,45.00,29319,3702,6 x 64 kb,6 x 48 kb,9 x 2048 kb,24 mb,10 x 64 kb,10 x 32 kb,,99135,73478,124,38235,19907,340819,1988,20244,3702,geforce rtx 4070,19567.0,pcie 4.0 x16,8192.0,1230.0,12_2,4.6,115.0,222.0,118.0,178.0,85.0,8362.0
5,phongvu,acer,laptop acer gaming aspire 7 a715-76g-5806 (i5-12450h/ ram 16gb/ geforce rtx™ 3050/ 512gb ssd/ windows 11),intel core i5 12450h,geforce rtx 3050,8.0,ddr4,512.0,ssd,yes,15.6,1920x1080,144.0,,50.0,3.0,2.1,windows 11 home,12.0,18490000,36.23,23.74,1.99,0.0,3.0,1.0,0.0,0.0,intel core i5 12450h,2.00,4.40,4,8,1.50,3.30,4.0,4.0,45.00,16999,3379,4 x 32 kb,4 x 48 kb,4 x 1280 kb,12 mb,4 x 64 kb,4 x 32 kb,1 x 2048 kb,56563,42183,47,21668,11418,205799,920,12638,3379,geforce rtx 3050,9458.0,pcie 4.0 x8,4096.0,712.0,12_2,4.6,75.0,118.0,55.0,73.0,45.0,3865.0
6,phongvu,asus,laptop asus vivobook s 16 oled s5606ma-mx051w (ultra 7-155h/ ram 16gb/ onboard graphics/ 512gb ssd/ windows 11),intel core ultra 7 155h,,16.0,ddr5,512.0,ssd,yes,16.0,3200x2000,120.0,600.0,75.0,4.0,1.5,windows 11 home,24.0,27990000,35.36,24.69,1.59,0.0,2.0,1.0,0.0,0.0,intel core ultra 7 155h,3.80,4.90,6,12,0.90,3.80,10.0,10.0,28.00,25114,3523,6 x 64 kb,6 x 48 kb,9 x 2048 kb,24 mb,10 x 64 kb,10 x 32 kb,,88381,64685,114,31400,16655,279971,1775,16443,3523,,,,,,,,,,,,,
7,phongvu,hp,laptop gaming hp victus 15-fb1022ax - 94f19pa (ryzen 5 7535hs/ram 16gb/geforce rtx 2050/512gb ssd/ windows 11),amd ryzen 5 7535hs,geforce rtx 2050,8.0,ddr5,512.0,ssd,yes,15.6,1920x1080,144.0,250.0,52.0,3.0,2.3,windows 11 home,12.0,17990000,35.79,25.5,2.35,0.0,1.0,1.0,0.0,0.0,amd ryzen 5 7535hs,3.30,4.60,6,12,,,,,35.00,18408,3170,6 x 32 kb,6 x 32 kb,6 x 512 kb,16 mb,,,,63980,36382,50,23123,14141,229245,870,15997,3170,geforce rtx 2050,7671.0,pcie 3.0 x8,4096.0,1185.0,12_2,4.6,45.0,105.0,39.0,48.0,41.0,3467.0
8,phongvu,msi,laptop msi stealth 18 mercedes amg a1vhg-080vn (ultra 9-185h/ ram 64gb/ geforce rtx™ 4080/ 2tb ssd/ windows 11),intel core ultra 9 185h,geforce rtx 4080,32.0,ddr5,2048.0,ssd,yes,18.0,3840x2400,120.0,,99.0,4.0,2.9,windows 11 home,24.0,99990000,40.0,28.97,2.4,0.0,1.0,1.0,0.0,0.0,intel core ultra 9 185h,2.30,5.10,6,12,1.80,3.80,10.0,10.0,45.00,29319,3702,6 x 64 kb,6 x 48 kb,9 x 2048 kb,24 mb,10 x 64 kb,10 x 32 kb,,99135,73478,124,38235,19907,340819,1988,20244,3702,geforce rtx 4080,25099.0,pcie 4.0 x16,12288.0,1860.0,12_2,4.6,150.0,286.0,161.0,248.0,96.0,11446.0
9,phongvu,msi,laptop gaming msi stealth 16 mercedes-amg motorsport a13vg (i9-13900h/ram 32gb/geforce rtx 4070/2tb ssd/ windows 11),intel core i9 13900h,geforce rtx 4070,16.0,ddr5,2048.0,ssd,yes,16.0,3840x2400,,,99.0,4.0,1.9,windows 11 home,24.0,77990000,35.58,25.97,1.99,0.0,1.0,1.0,0.0,0.0,intel core i9 13900h,2.60,5.40,6,12,1.90,4.10,8.0,8.0,45.00,28701,3842,6 x 32 kb,6 x 48 kb,6 x 1280 kb,24 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,100655,72169,108,36868,19788,339431,1809,20041,3842,geforce rtx 4070,19567.0,pcie 4.0 x16,8192.0,1230.0,12_2,4.6,115.0,222.0,118.0,178.0,85.0,8362.0
10,phongvu,msi,laptop gaming msi cyborg 15 a13uc-861vn (i5-13420h/ram 16gb/geforce rtx 3050/512gb ssd/ windows 11),intel core i5 13420h,geforce rtx 3050,8.0,ddr5,512.0,ssd,yes,15.6,1920x1080,,,53.0,3.0,2.0,windows 11 home,24.0,19490000,35.94,25.03,2.29,0.0,1.0,1.0,0.0,0.0,intel core i5 13420h,2.10,4.60,4,8,1.50,3.40,4.0,4.0,45.00,18351,3454,4 x 32 kb,4 x 48 kb,4 x 1280 kb,12 mb,4 x 64 kb,4 x 32 kb,1 x 2048 kb,60332,44607,54,22863,12242,223438,1061,13756,3454,geforce rtx 3050,9458.0,pcie 4.0 x8,4096.0,712.0,12_2,4.6,75.0,118.0,55.0,73.0,45.0,3865.0
11,phongvu,hp,laptop hp 15s-fq5228tu - 8u240pa (i3-1215u/ ram 8gb/ onboard graphics/ 512gb ssd/ windows 11),intel core i3 1215u,,8.0,ddr4,512.0,ssd,yes,15.6,1920x1080,,250.0,41.0,3.0,1.7,windows 11 home,12.0,10490000,35.85,24.2,1.79,0.0,1.0,1.0,0.0,0.0,intel core i3 1215u,1.20,4.40,2,4,0.90,3.30,4.0,4.0,15.00,10846,3297,2 x 32 kb,2 x 48 kb,2 x 1280 kb,10 mb,4 x 64 kb,4 x 32 kb,1 x 2048 kb,36592,26189,34,13414,7301,121129,617,7105,3297,,,,,,,,,,,,,
12,phongvu,acer,laptop gaming acer nitro v 15 propanel anv15-41-r7ap (ryzen 5 7535hs/ram 16gb/geforce rtx 2050/512gb ssd/ windows 11),amd ryzen 5 7535hs,geforce rtx 2050,8.0,ddr5,512.0,ssd,yes,15.6,1920x1080,180.0,300.0,57.0,4.0,2.1,windows 11 home,12.0,19490000,36.23,23.99,2.35,0.0,1.0,1.0,0.0,0.0,amd ryzen 5 7535hs,3.30,4.60,6,12,,,,,35.00,18408,3170,6 x 32 kb,6 x 32 kb,6 x 512 kb,16 mb,,,,63980,36382,50,23123,14141,229245,870,15997,3170,geforce rtx 2050,7671.0,pcie 3.0 x8,4096.0,1185.0,12_2,4.6,45.0,105.0,39.0,48.0,41.0,3467.0
