source,brand,name,cpu,vga,ram_amount,ram_type,storage_amount,storage_type,webcam_resolution,screen_size,screen_resolution,screen_refresh_rate,screen_brightness,battery_capacity,battery_cells,weight,default_os,warranty,price,width,depth,height,number_usb_a_ports,number_usb_c_ports,number_hdmi_ports,number_ethernet_ports,number_audio_jacks
,asus,laptop asus zenbook s 14 ux5406sa-pv140ws,intel core ultra 7 258v,n/a,n/a,n/a,n/a,ssd,fhd,n/a,2880x1800,n/a,n/a,n/a,4,n/a,windows 11 home,24,44990000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,asus,laptop asus rog zephyrus g16 ga605wi 2024,"<div type=""body"" style=""flex: 3 1 0%;"" class=""css-1lchwqw""> amd ryzen ai 9 hx 370",geforce rtx 4070,n/a,n/a,n/a,ssd,fhd,n/a,2560x1600,n/a,n/a,n/a,4,n/a,windows 11 home,24,77990000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,asus,laptop asus vivobook 15x oled m3504ya-l1268w,amd ryzen 5 7530u,n/a,n/a,n/a,n/a,ssd,hd,n/a,1920x1080,n/a,n/a,n/a,3,n/a,windows 11 home,24,13990000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,acer,laptop acer predator helios neo 14 phn14-51-96hg,intel core ultra 9 185h,geforce rtx 4070,n/a,n/a,n/a,ssd,hd,n/a,3072x1920,n/a,n/a,n/a,4,n/a,windows 11 home,12,58490000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,asus,laptop asus tuf gaming a14 2024,"<div type=""body"" style=""flex: 3 1 0%;"" class=""css-1lchwqw""> amd ryzen ai 9 hx 370",geforce rtx 4060,n/a,n/a,n/a,ssd,fhd,n/a,2560x1600,n/a,n/a,n/a,4,n/a,windows 11 home,24,42490000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,acer,laptop acer gaming aspire 7 a715-76g-5806,intel core i5-12450h,geforce rtx 3050,n/a,n/a,n/a,ssd,hd,n/a,1920x1080,n/a,n/a,n/a,3,n/a,windows 11 home,12,18490000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,asus,laptop asus vivobook s 16 oled s5606ma-mx051w,intel core ultra 7 155h,n/a,n/a,n/a,n/a,ssd,fhd,n/a,3200x2000,n/a,n/a,n/a,4,n/a,windows 11 home,24,27990000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,hp,laptop gaming hp victus 15-fb1022ax - 94f19pa,amd ryzen 5 7535hs,geforce rtx 2050,n/a,n/a,n/a,ssd,hd,n/a,1920x1080,n/a,n/a,n/a,3,n/a,windows 11 home,12,18490000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,msi,laptop msi stealth 18 mercedes amg a1vhg-080vn,intel core ultra 9 185h,geforce rtx 4080,n/a,n/a,n/a,ssd,fhd,n/a,3840x2400,n/a,n/a,n/a,4,n/a,windows 11 home,24,99990000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,msi,laptop gaming msi stealth 16 mercedes-amg motorsport a13vg,intel core i9-13900h,geforce rtx 4070,n/a,n/a,n/a,ssd,fhd,n/a,3840x2400,n/a,n/a,n/a,4,n/a,windows 11 home,24,77990000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,msi,laptop gaming msi cyborg 15 a13uc-861vn,intel core i5-13420h,geforce rtx 3050,n/a,n/a,n/a,ssd,hd,n/a,1920x1080,n/a,n/a,n/a,3,n/a,windows 11 home,24,19990000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,hp,laptop hp 15s-fq5228tu - 8u240pa,intel core i3-1215u,n/a,n/a,n/a,n/a,ssd,hd,n/a,1920x1080,n/a,n/a,n/a,3,n/a,windows 11 home,12,10790000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,acer,laptop gaming acer nitro v 15 propanel anv15-41-r7ap,amd ryzen 5 7535hs,geforce rtx 2050,n/a,n/a,n/a,ssd,hd,n/a,1920x1080,n/a,n/a,n/a,4,n/a,windows 11 home,12,20990000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
