source,brand,name,cpu,vga,ram_amount,ram_type,storage_amount,storage_type,webcam_resolution,screen_size,screen_resolution,screen_refresh_rate,screen_brightness,battery_capacity,battery_cells,weight,default_os,warranty,price,width,depth,height,number_usb_a_ports,number_usb_c_ports,number_hdmi_ports,number_ethernet_ports,number_audio_jacks
anphat,asus,vivobook pro 14 oled a1405va-km095w,intel core i5-13500h,intel iris x,16,ddr4,512,ssd,yes,14.0,2880x1800,90,600,50.0,3,1.6,windows 11 home,24,16790000,31.71,22.2,1.99,0,2,1,0,1
anphat,apple,z1c80005f,apple m3 8-core,n/a,16,n/a,512,ssd,yes,n/a,2,n/a,n/a,70-watt-hour lithium-polymer battery usb-c to magsafe 3 cable up to 15 hours wireless web up to 22 hours apple tv app movie playback pin liền 70w usb-c power adapter fast-charge capable with 96w usb-c power adapter,70-watt-hour lithium-polymer battery usb-c to magsafe 3 cable up to 15 hours wireless web up to 22 hours apple tv app movie playback pin liền 70w usb-c power adapter fast-charge capable with 96w usb-c power adapter,1.55,macos,n/a,46000000,31.26,12.31,0.87,0,1,0,0,0
anphat,hp,laptop hp probook 440 g11 a74b4pt,intel core ultra 5 125u,n/a,8,ddr5,512,ssd,yes,14.0,1920x1200,n/a,300,56.0,3,1.39,windows 11 home,12,21890000,31.86,22.44,1.09,0,2,1,1,1
anphat,n/a,n/a,intel core i3-1215u,n/a,8,ddr4,256,ssd,yes,15.6,1920x1080,n/a,250,41.0,3,1.69,windows 11 home,n/a,11990000,35.85,24.2,1.79,0,1,1,0,1
anphat,lenovo,laptop lenovo yoga book 9 13imu9 83ff001svn,intel core ultra 7 155u,n/a,32,n/a,32,ssd,yes,13.3,2880x1800,n/a,400,75.0,n/a,1.34,windows 11 home,n/a,66990000,n/a,n/a,n/a,0,3,0,0,0
anphat,hp,laptop hp envy x360 14-fc0084tu a19btpa,intel core ultra 7 155u,n/a,32,ddr5,1024,ssd,yes,14.0,2880x1800,n/a,400,59.0,3,-,windows 11 home,12,34690000,29.83,21.49,1.61,0,1,1,0,1
anphat,asus,laptop asus vivobook 14 x1404za-nk389w,intel core i7-1255u,n/a,8,ddr4,512,ssd,yes,14.0,1920x1080,60,250,42.0,3,1.4,windows 11 home,n/a,17999000,32.49,21.39,1.79,2,0,1,0,0
anphat,msi,msi katana a15 ai b8ve 402vn,amd ryzen 7 8845hs,geforce rtx 4050,16,ddr5,512,ssd,yes,15.6,1920x1080,144,n/a,53.5,3,2.25,windows 11 home,n/a,28990000,35.9,25.9,2.49,0,1,1,0,1
anphat,hp,hp elitebook 630 g10 9j0b7pt,intel core i7-1355u,n/a,16,n/a,16,ssd,yes,13.3,1920x1080,n/a,250,42.0,3,1.22,windows 11 home,12,24990000,30.69,20.84,1.59,n/a,n/a,n/a,n/a,n/a
anphat,dell,laptop dell inspiron 15 3530 p16wd,intel core i7-1355u,n/a,16,ddr4,1024,ssd,yes,15.6,1920x1080,120,n/a,54.0,4,1.62,windows 11 home,12,21490000,35.85,23.56,1.7,0,1,1,0,0
anphat,asus,laptop asus gaming rog zephyrus g16 gu605mv-qr196ws,intel core ultra 9 185h,geforce rtx 4060,16,n/a,16,ssd,yes,16.0,2560x1600,240,500,90.0,4,1.85,windows 11 home,24,63990000,35.4,24.6,1.49,0,2,1,0,1
anphat,n/a,n/a,n/a,n/a,16,n/a,"<p><spanstyle=""font-family:arial,helvetica,sans-serif;font-size:10pt;"">intelarcgraphics</span></p>",n/a,yes,14.0,1920x1200,60,400,63.0,3,n/a,windows 11 home,n/a,27990000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
anphat,hp,laptop hp envy x360 14-fc0083tu a19bspa,intel core ultra 7 155u,n/a,32,ddr5,1024,ssd,yes,14.0,2880x1800,n/a,400,59.0,3,-,windows 11 home,n/a,38990000,29.83,21.49,1.61,0,1,1,0,1
