source,brand,name,cpu,vga,ram_amount,ram_type,storage_amount,storage_type,webcam_resolution,screen_size,screen_resolution,screen_refresh_rate,screen_brightness,battery_capacity,battery_cells,weight,default_os,warranty,price,width,depth,height,number_usb_a_ports,number_usb_c_ports,number_hdmi_ports,number_ethernet_ports,number_audio_jacks
laptopaz,"hp envy x360 2-in-1 14-fa0023dx 2024 (ryzen 7 8840hs, 16gb, 1tb, 14"" fhd+ touch)",hp envy x360 2-in-1 14-fa0023dx 2024,amd ryzen 7 8840hs,n/a,16,ddr5,1024,ssd,yes,14,1920x1200,n/a,300,59,3,1.39,windows,12,deal: 17890000,n/a,n/a,n/a,0,1,1,0,1
laptopaz,"lenovo legion y7000p 2024 (core i7-14650hx, 16gb, 1tb, rtx 4060 8gb, 16'' 2k+ 165hz)",lenovo legion y7000p 2024,intel core i7-14650hx,geforce rtx 4060,16,ddr5,1024,ssd,yes,16,"16""wqxga(2560×1600)ips500nitsanti-glare,100%srgb,165hz,displayhdr400,dolbyvision,g-sync,lowbluelight",165,500,80,"80whr, super rapid charge",2.3,windows,12,31890000,n/a,n/a,n/a,0,2,1,1,1
laptopaz,"lenovo legion y7000p 2024 (core i7-14650hx, 16gb, 1tb, rtx 4050 6gb, 16'' 2k+ 165hz)",lenovo legion y7000p 2024,intel core i7-14650hx,geforce rtx 4050,16,ddr5,1024,ssd,yes,16,2560x1600,165,350,80,"80whr, super rapid charge",2.3,windows,n/a,29990000,n/a,n/a,n/a,0,2,1,1,1
laptopaz,"hp envy x360 2in1 16-ac0013dx 2024 (core ultra 5 125u, 16gb, 512gb, iris xe graphics, 16"" fhd+ touch)",hp envy x360 2in1 16-ac0013dx 2024,intel core ultra 5 125u,n/a,16,ddr5,512,ssd,yes,16,1920x1200,n/a,n/a,68,4,1.87,windows,n/a,16490000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
laptopaz,"gigabyte g5 mf-f2vn313sh (core i5-12450h, 16gb, 512gb, rtx 4050 6gb, 15.6"" fhd 144hz)",gigabyte g5 mf-f2vn313sh,intel core i5-12450h,geforce rtx 4050,16,ddr4,512,ssd,no,15.6,1920x1080,144,n/a,54,4,1.9,windows 11 home,24,23990000,n/a,n/a,n/a,1,0,1,1,1
laptopaz,"dell vostro 5630 (core i7-1360p, 16gb, 512gb, iris xe graphic, 16'' 2.5k 120hz)",dell vostro 5630,intel core i7-1360p,n/a,16,ddr5,512,ssd,yes,16,2560x16320,n/a,n/a,54,4,1.9,windows,12,21990000,n/a,n/a,n/a,0,1,1,1,1
laptopaz,"lenovo thinkbook x ai 2024 (intel ultra 5 125h, 16gb, 1tb, intel arc graphics, 13.5"" 2k+ ips 120hz)",lenovo thinkbook x ai 2024,intel core ultra 5 125h,n/a,16,ddr5,1024,ssd,yes,13.5,2880x1920,120,500,74,4,1.1,windows,n/a,28890000,n/a,n/a,n/a,0,3,0,0,1
laptopaz,"dell precision 7680 (core i7-13850hx, 16gb, 1tb, rtx 2000 ada, 16'' fhd ips)",dell precision 7680,intel core i7-13850hx,geforce rtx a2000,16,"16gb 5600mt/s camm, non-ecc",1024,ssd,no,16,1920x1200,60,500,83,6,2.6,windows,n/a,42890000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
laptopaz,"lenovo slim 7 pro x (ryzen 9 6900hs, 32gb, 1tb, rtx 3050 4gb, 14.5'' 3k touch)",lenovo slim 7 pro x,amd ryzen 9 6900hs,geforce rtx 3050,32,ddr5,1024,ssd,yes,14.5,3072x1920,120,400,70,70 wh,1.45,windows,n/a,20890000,n/a,n/a,n/a,0,1,0,0,1
laptopaz,"dell inspiron 14 5425 (ryzen 5-5625u, amd radeon graphics, 16gb, 512gb, 14"" 2k+)",dell inspiron 14 5425,amd ryzen 5 5625u,n/a,16,ddr4,512,ssd,yes,14,2048x1152,n/a,n/a,54,4,1.55,windows,n/a,15990000,n/a,n/a,n/a,0,1,1,0,1
laptopaz,"lenovo loq 2023 15aph8 82xt001nus (ryzen 7-7840hs, 8gb, 512gb, rtx 4050 6gb, 15.6"" fhd 144hz)",lenovo loq 2023 15aph8 82xt001nus,amd ryzen 7 7840hs,geforce rtx 4050,8,ddr5,512,ssd,yes,15.6,1920x1080,144,350,60,4,2.4,windows,n/a,20890000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
laptopaz,"lenovo loq 2023 82xv002lus (core i5-13420h, 8gb, 1tb, rtx 3050 6gb, 15.6"" fhd 144hz)",lenovo loq 2023 82xv002lus,intel core i5-13420h,geforce rtx 3050,8,ddr5,1024,ssd,yes,15.6,1920x1080,144,350,60,4,2.4,windows,n/a,20890000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
laptopaz,"lenovo legion pro 5 2023 (core i7-13700hx, 16gb, 512gb, rtx 4060 8gb, 16.0"" 2k 165hz)",lenovo legion pro 5 2023,intel core i7-13700hx,geforce rtx 4060,16,ddr5,512,ssd,yes,16,2560x1600,165,300,80,6,2.6,windows,n/a,29990000,n/a,n/a,n/a,0,1,1,1,1
laptopaz,"dell gaming g16 7630 2023 (core i9-13900hx, 16gb, 1tb, rtx 4060 8gb, 16"" qhd 240hz)",dell gaming g16 7630 2023,intel core i9-13900hx,geforce rtx 4060,16,ddr5,1024,ssd,yes,16,2560x1440,240,n/a,86,6,2.65,windows,n/a,20890000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
laptopaz,"acer predator helios neo phn16-71-57w1 (core i5-13500hx, 16gb, 512gb, rtx 4050 6gb, 16"" fhd+ 165hz)",acer predator helios neo phn16-71-57w1,intel core i5-13500hx,geforce rtx 4050,16,ddr5,512,ssd,yes,16,1900x1200,165,n/a,90,4,2.6,windows,n/a,31890000,n/a,n/a,n/a,0,1,1,0,1
laptopaz,"acer nitro 5 tiger 2022 an515-58 (core i7 - 12700h, 8gb, 512gb, rtx 3050ti, 15.6"" fhd ips 144hz)",acer nitro 5 tiger 2022 an515-58,intel core i7-12700h,geforce rtx 3050 ti,8,ddr4,512,ssd,no,15.6,1920x1080,144,n/a,57,4,2.4,windows 11 home,n/a,22890000,n/a,n/a,n/a,0,1,1,0,0
laptopaz,"lenovo thinkpad x1 nano gen 1 (core i5-1130g7, 16gb, 512gb, intel iris xe, 13.3"" 2k)",lenovo thinkpad x1 nano gen 1,intel core i5-1130g,n/a,16,ddr4,512,ssd,no,13.3,2048x1152,n/a,n/a,48,48whrs,0.96,windows,n/a,19090000,n/a,n/a,n/a,0,1,0,0,1
laptopaz,"lenovo ideapad gaming 3 15ihu6 (core i5-11320h, 8gb, 512gb, rtx 3050, 15.6"" fhd ips)",lenovo ideapad gaming 3 15ihu6,intel core i5-11320h,geforce rtx 3050,8,ddr4,512,ssd,no,15.6,1920x1080,120,250,3 cells,3,2.2,windows,n/a,20890000,n/a,n/a,n/a,0,1,1,1,1
laptopaz,"acer predator helios 300 ph315-55-795c (core i7-12700h, 16gb, 1tb, rtx 3070ti 8gb, 15.6'' 2k 240hz)",acer predator helios 300 ph315-55-795c,intel core i7-12700h,geforce rtx 3070 ti,16,ddr5,1024,ssd,yes,15.6,2560x1440,240,n/a,90,4,2.59,windows,n/a,31890000,n/a,n/a,n/a,0,1,1,0,0
laptopaz,"asus tuf f15 fx507zc4-hn074w (core i5-12500h, 8gb, 512gb, rtx 3050 4gb, 15.6” fhd 144hz ips)",asus tuf f15 fx507zc4-hn074w,intel core i5-12500h,geforce rtx 3050,8,ddr4,512,ssd,yes,15.6,1920x1080,144,n/a,56,4,2.2,windows,n/a,18390000,n/a,n/a,n/a,0,1,1,0,1
laptopaz,"dell inspiron 16 5620 (core i5-1240p, 16gb, 512gb, iris xe graphics, 16"" 2k+ wva)",dell inspiron 16 5620,n/a,n/a,n/a,n/a,n/a,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,15990000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
laptopaz,"dell gaming g15 5530 2023 (core i5-13450hx, 16gb, 512gb, nvidia rtx 3050 6gb, 15.6'' fhd 120hz)",dell gaming g15 5530 2023,n/a,n/a,n/a,n/a,n/a,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,20890000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
