source,brand,name,cpu,vga,ram_amount,ram_type,storage_amount,storage_type,webcam_resolution,screen_size,screen_resolution,screen_refresh_rate,screen_brightness,battery_capacity,battery_cells,weight,default_os,warranty,price,width,depth,height,number_usb_a_ports,number_usb_c_ports,number_hdmi_ports,number_ethernet_ports,number_audio_jacks
cellphones,asus,asus tuf gaming f15 fx507zc4-hn095w,intel core i5-12500h,geforce rtx 3050,16,ddr4,512,ssd,yes,15.6,1920x1080,144,250,56.0,4,2.2,windows 11 home,24,20290000,35.4,25.1,2.49,3,1,1,0,1
cellphones,acer,acer gaming aspire 7 a715-76-53pj,intel core i5-12450h,n/a,16,ddr4,512,ssd,yes,15.6,1920x1080,60,n/a,50.0,3,2.1,windows 11 home,12,13990000,36.23,23.74,1.99,3,0,1,1,0
cellphones,lenovo,lenovo loq 15arp9 83jc007hvn,amd ryzen 5 7235hs,geforce rtx 3050,12,ddr5,512,ssd,yes,15.6,1920x1080,144,300,60.0,n/a,2.38,windows 11 home,24,20990000,35.99,25.87,2.39,3,1,1,1,1
cellphones,asus,asus vivobook 14 oled a1405za-km264w,intel core i5-12500h,n/a,16,ddr4,512,ssd,yes,14.0,2880x1800,90,600,50.0,3,1.6,windows 11 home,24,16290000,31.71,22.2,1.99,3,0,1,0,0
cellphones,lenovo,lenovo ideapad slim 5 14iah8 83bf002nvn,intel core i5-12450h,n/a,16,ddr5,512,ssd,yes,14.0,1920x1200,n/a,300,56.6,n/a,1.46,windows 11 home,36,15990000,31.2,22.1,1.79,2,2,1,0,1
cellphones,dell,dell inspiron 15 3520,intel core i5-1235u,n/a,16,ddr4,512,ssd,yes,15.6,1920x1080,120,n/a,41.0,3,1.685,windows 11 home,12,16390000,35.85,23.49,1.75,2,0,1,0,1
cellphones,lenovo,lenovo ideapad slim 5 14q8x9 83hl000kvn,snapdragon x plus x1p-42-100,n/a,16,ddr5,512,ssd,yes,14.0,1920x1200,n/a,400,57.0,n/a,1.48,windows 11 home,24,23490000,31.2,22.1,1.69,2,2,1,0,1
cellphones,asus,asus vivobook 15 x1504za-nj517w,intel core i5-1235u,n/a,16,ddr4,512,ssd,yes,15.6,1920x1080,60,250,42.0,3,1.7,windows 11 home,24,14290000,35.97,23.25,1.79,3,0,1,0,1
cellphones,msi,msi prestige 14 ai studio c1udxg-058vn,intel core ultra 7 155h,geforce rtx 3050,16,ddr5,1024,ssd,yes,14.0,1920x1200,144,n/a,90.0,4,1.7,windows 11 home,24,26990000,31.34,24.65,1.9,1,1,1,0,1
cellphones,apple,apple macbook air m1,n/a,n/a,8,ddr4,256,ssd,no,13.3,2560x1600,n/a,400,49.9,n/a,1.29,macos,12,18290000,30.41,21.24,1.61,0,0,0,0,0
cellphones,acer,acer nitro 5 tiger an515 58 52sp,intel core i5-12500h,geforce rtx 3050,8,ddr4,512,ssd,yes,15.6,1920x1080,144,n/a,57.5,4,2.5,windows 11 home,12,17990000,36.04,27.11,2.59,3,0,1,1,1
cellphones,lenovo,lenovo loq 15iax9 83gs001rvn,intel core i5-12450hx,geforce rtx 3050,12,ddr5,512,ssd,yes,15.6,1920x1080,144,300,60.0,n/a,2.38,windows 11 home,24,20990000,35.99,25.87,2.39,3,1,1,1,1
cellphones,msi,msi modern 14 c13m-607vn,intel core i7-1355u,n/a,16,ddr4,512,ssd,yes,14.0,1920x1080,60,300,39.3,3,1.4,windows 11 home,24,14990000,32.0,22.3,1.95,1,1,1,0,0
cellphones,asus,asus vivobook go 14 e1404fa-nk177w,amd ryzen 5 7520u,n/a,16,ddr5,512,ssd,yes,14.0,1920x1080,60,250,42.0,3,1.3,windows 11 home,24,12390000,32.45,21.39,1.79,2,0,1,0,0
cellphones,lenovo,lenovo ideapad slim 3 14iah8 83eq0005vn,intel core i5-12450h,n/a,16,ddr5,512,ssd,yes,14.0,1920x1080,n/a,300,47.0,n/a,1.37,windows 11 home,24,14190000,32.43,21.38,1.79,2,1,1,0,1
cellphones,asus,asus gaming vivobook k3605zf-rp634w,intel core i5-12500h,geforce rtx 2050,16,ddr4,512,ssd,yes,16.0,1920x1200,144,300,50.0,3,1.8,windows 11 home,24,17390000,35.86,24.91,1.89,3,0,1,0,1
cellphones,asus,asus tuf gaming f15 fx507zc4-hn074w,intel core i5-12500h,geforce rtx 3050,8,ddr4,512,ssd,yes,15.6,1920x1080,144,250,56.0,4,2.2,windows 11 home,24,18990000,35.4,25.1,2.49,3,1,1,0,1
cellphones,lenovo,lenovo loq 15iax9 83gs001svn,intel core i5-12450hx,geforce rtx 2050,12,ddr5,512,ssd,yes,15.6,1920x1080,144,300,60.0,3,2.38,windows 11 home,24,18990000,35.99,25.87,2.39,3,1,1,1,0
cellphones,asus,asus tuf gaming a15 fa506ncr-hn047w,amd ryzen 7 7435hs,geforce rtx 3050,16,ddr5,512,ssd,yes,15.6,1920x1080,144,250,48.0,3,2.3,windows 11 home,24,20490000,35.9,25.6,2.45,4,0,1,0,0
cellphones,asus,asus zenbook 14 oled ux3405ma-pp151w,intel core ultra 5 125h,n/a,16,ddr5,512,ssd,yes,14.0,2880x1800,120,600,75.0,4,1.2,windows 11 home,24,26390000,31.24,22.01,1.49,1,2,1,0,0
cellphones,asus,asus  vivobook 14 oled a1405va-km257w,intel core i5-13500h,n/a,16,ddr4,512,ssd,yes,14.0,2880x1800,90,600,50.0,3,1.6,windows 11 home,24,17090000,31.71,22.2,1.99,3,0,1,0,1
cellphones,apple,macbook pro 14 m3,apple m3 8-core,n/a,8,n/a,512,n/a,yes,14.2,3024x1964,120,n/a,70.0,n/a,1.55,macos,12,36490000,31.26,22.12,1.55,0,0,1,0,1
