source,brand,name,cpu,vga,ram_amount,ram_type,storage_amount,storage_type,webcam_resolution,screen_size,screen_resolution,screen_refresh_rate,screen_brightness,battery_capacity,battery_cells,weight,default_os,warranty,price,width,depth,height,number_usb_a_ports,number_usb_c_ports,number_hdmi_ports,number_ethernet_ports,number_audio_jacks
fpt,asus,asus vivobook 15 x1504za-nj517w,intel core i5-1235u,n/a,16,ddr4,16,ssd,hd,15.6,1920x1080,60,250,42.0,42 whrs,1.7,windows 11 home,aaaaaaaaaaa,n/a,35.97,23.25,1.56,2,1,1,0,0
fpt,hp,hp 14s-dq5121tu,intel core i3-1215u,n/a,8,ddr4,8,ssd,hptruevisionwebcam,14.0,1920x1080,0,n/a,3 cell,3,1.36,windows 11 home,aaaaaaaaaaa,n/a,32.4,22.5,1.4,2,1,1,0,0
fpt,apple,macbook air 13 inch m1 2020 8cpu 7gpu 8gb/256gb,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
fpt,acer,acer nitro 5 tiger gaming an515-58-773y,intel core i7-12700h,geforce rtx 3050 ti,16,ddr4,16,ssd,hd,15.6,1920x1080,144,250,4 cell,4,2.5,windows 11 home,aaaaaaaaaaa,n/a,36.04,27.11,1.56,3,1,1,1,0
fpt,hp,"hp gaming victus 16-s0173ax r5-7640hs/16gb/512gb/16""",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
fpt,acer,acer aspire lite al16-51p-55n7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
fpt,dell,"dell inspiron n3520 i5 1235u/16gb/512gb/15.6""fhd/win11/office",intel core i5-1235u,n/a,16,ddr4,16,ssd,hd,15.6,1920x1080,120,250,3 cell,3,1.9,windows 11 home,aaaaaaaaaaa,n/a,35.85,23.56,1.56,2,2,1,1,1
fpt,hp,hp 15-fd0235tu,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
fpt,asus,asus vivobook 14 oled a1405za-km264w,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
fpt,lenovo,"lenovo ideapad slim 3 15irh8 i7 13620h/16gb/512gb/15.6""",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
fpt,hp,hp pavilion 15-eg3111tu,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
fpt,apple,macbook air 13 inch m2 2022 8cpu 8gpu 8gb/256gb,apple m2,n/a,8,ddr4,8,ssd,fhd,13.6,2560x1644,60,500,18 giờ,18 giờ,1.24,macos,aaaaaaaaaaa,n/a,30.41,21.5,1.36,0,2,0,0,0
fpt,acer,acer nitro 5 tiger gaming an515-58-5193,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
fpt,asus,asus tuf gaming fx507zc4-hn095w,intel core i5-12500h,geforce rtx 3050,16,ddr4,16,ssd,hd,15.6,1920x1080,144,250,56.0,56 wh,2.2,windows 11 home,aaaaaaaaaaa,n/a,35.4,25.1,1.56,5,1,1,0,0
fpt,lenovo,"lenovo gaming loq - 15iax9 i5 12450hx/ai/12gb/512gb/15.6""fhd/rtx3050",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
fpt,asus,asus tuf gaming fa507nur-lp101w,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
fpt,dell,"dell inspiron n3530 i5 1334u/16gb/512gb/15.6""fhd/win11/office",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
fpt,hp,hp 14s-em0086au,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
fpt,msi,"msi gaming thin a15 b7uc-261vn r5 7535hs/16gb/512gb/15.6""",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
fpt,acer,acer aspire 7 gaming a715-76g-73fm,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
fpt,lenovo,"lenovo ideapad 3 14iah8 i5 12450h/16gb/512gb/14""fhd/win11",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
fpt,msi,msi gaming katana 15 b13udxk-2213vn,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
