source,brand,name,cpu,vga,ram_amount,ram_type,storage_amount,storage_type,webcam_resolution,screen_size,screen_resolution,screen_refresh_rate,screen_brightness,battery_capacity,battery_cells,weight,default_os,warranty,price,width,depth,height,number_usb_a_ports,number_usb_c_ports,number_hdmi_ports,number_ethernet_ports,number_audio_jacks
fptshop,hp,hp 14s-dq5121tu,intel core i3-1215u,n/a,8,ddr4,8,ssd,yes,14.0,1920x1080,n/a,n/a,3 cell,3,1.36,windows 11 home,12,n/a,32.4,22.5,1.4,0,0,1,0,0
fptshop,dell,"dell latitude l3540 i5 1235u/16gb/512gb/15.6""",intel core i5-1235u,n/a,16,ddr5,16,ssd,yes,15.6,1920x1080,n/a,n/a,n/a,n/a,1.81,windows 11 home,12,n/a,35.9,23.97,1.56,0,0,1,1,0
fptshop,apple,macbook air 13 inch m1 2020 8cpu 7gpu 8gb/256gb,apple m1,n/a,8,ddr4,8,ssd,yes,13.3,2560x1600,n/a,n/a,n/a,n/a,1.29,macos,12,n/a,30.41,21.24,1.33,0,0,0,0,0
fptshop,acer,acer nitro 5 tiger gaming an515-58-773y,intel core i7-12700h,geforce rtx 3050 ti,16,ddr4,16,ssd,yes,15.6,1920x1080,n/a,250,4 cell,4,2.5,windows 11 home,12,n/a,36.04,27.11,1.56,0,0,1,1,0
fptshop,hp,"hp gaming victus 16-s0173ax r5-7640hs/16gb/512gb/16""",amd ryzen 5 7640hs,geforce rtx 3050,16,ddr5,16,ssd,yes,16.1,1920x1080,n/a,n/a,70.0,70 whrs,2.33,windows 11 home,12,n/a,36.9,25.94,1.61,0,0,1,1,1
fptshop,acer,acer aspire lite al16-51p-55n7,intel core i5-1235u,n/a,16,ddr5,16,ssd,yes,16.0,1920x1200,n/a,300,76.0,76 whr,1.7,windows 11 home,12,n/a,35.76,24.7,1.6,0,0,1,0,0
fptshop,dell,"dell inspiron n3520 i5 1235u/16gb/512gb/15.6""fhd/win11/office",intel core i5-1235u,n/a,16,ddr4,16,ssd,yes,15.6,1920x1080,n/a,250,3 cell,3,1.9,windows 11 home,12,n/a,35.85,23.56,1.56,0,0,1,1,1
fptshop,hp,hp 15-fd0235tu,intel core i5-1334u,n/a,16,ddr4,16,ssd,yes,15.6,1920x1080,n/a,n/a,41.0,41 wh,1.59,windows 11 home,12,n/a,35.98,23.6,1.56,0,0,0,0,0
fptshop,asus,asus vivobook 14 oled a1405za-km264w,intel core i5-12500h,n/a,16,ddr4,16,ssd,yes,14.0,2880x1800,n/a,600,50.0,50 wh,1.6,windows,24,n/a,31.71,22.2,1.4,0,0,1,0,0
fptshop,msi,msi gaming thin 15 b13ucx-2080vn,intel core i5-13420h,geforce rtx 2050,16,ddr4,16,ssd,yes,15.6,1920x1080,n/a,n/a,52.4,52.4 wh,1.86,windows 11 home,24,n/a,35.9,25.4,1.56,0,0,1,1,0
