source,brand,name,cpu,vga,ram_amount,ram_type,storage_amount,storage_type,webcam_resolution,screen_size,screen_resolution,screen_refresh_rate,screen_brightness,battery_capacity,battery_cells,weight,default_os,warranty,price,width,depth,height,number_usb_a_ports,number_usb_c_ports,number_hdmi_ports,number_ethernet_ports,number_audio_jacks
gearvn,asus,asus rog zephyrus g16 ga605wi qr152ws,amd ryzen ai 9 hx 370,geforce rtx 4070,32,ddr5,1024,ssd,yes,16.0,2560x1600,240,500,90.0,4,1.85,windows 11 home,24,62990000,35.4,24.6,1.49,2,2,1,0,1
gearvn,asus,asus rog strix g16 g614ju n4450w,intel core i7-13650hx,geforce rtx 4050,16,ddr5,1024,ssd,yes,16.0,2560x1600,240,n/a,90.0,4,2.5,windows 11 home,24,38990000,35.4,26.4,2.26,2,2,1,0,1
gearvn,asus,asus rog strix g18 g814jir n6108w,intel core i9-14900hx,geforce rtx 4070,32,ddr5,1024,ssd,yes,18.0,2560x1600,240,n/a,90.0,4,3.0,windows 11 home,24,55990000,39.9,29.4,2.31,2,2,1,0,1
gearvn,asus,asus rog strix g18 g814ju n6143w,intel core i7-13650hx,geforce rtx 4050,16,ddr5,1024,ssd,yes,18.0,2560x1600,240,n/a,90.0,4,3.0,windows 11 home,24,40990000,39.9,29.4,2.31,2,2,1,0,1
gearvn,lenovo,lenovo loq 15irx9 83dv00ugvn,intel core i7-13650hx,geforce rtx 4050,24,ddr5,512,ssd,yes,15.6,1920x1080,144,300,60.0,4,2.4,windows 11 home,24,29490000,35.96,26.48,2.52,3,1,1,1,1
gearvn,asus,asus rog strix g18 g814jvr n6089w,intel core i9-14900hx,geforce rtx 4060,32,ddr5,1024,ssd,yes,18.0,2560x1600,240,500,90.0,4,3.0,windows 11 home,24,48990000,39.9,29.4,2.31,2,2,1,0,1
gearvn,asus,asus rog strix scar 18 g834jzr r6160,intel core i9-14900hx,geforce rtx 4080,32,ddr5,1024,ssd,yes,18.0,2560x1600,240,1100,90.0,4,3.1,no preins,24,83990000,39.9,29.4,2.31,2,2,1,0,1
gearvn,asus,asus rog strix g16 g614ju n3206w,intel core i7-13650hx,geforce rtx 4050,16,ddr5,1024,ssd,yes,16.0,1920x1200,165,250,90.0,4,2.5,windows 11 home,24,36990000,35.4,26.4,2.26,2,2,0,0,0
gearvn,asus,asus rog strix scar 18 g834jyr r6199,intel core i9-14900hx,geforce rtx 4090,64,ddr5,2048,ssd,yes,18.0,2560x1600,240,1100,90.0,4,3.1,no preins,24,109990000,39.9,29.4,2.31,2,2,1,0,1
gearvn,asus,asus rog strix g16 g614jir n4193w,intel core i9-14900hx,geforce rtx 4070,32,ddr5,1024,ssd,yes,16.0,2560x1600,240,n/a,90.0,4,2.5,windows 11 home,24,54990000,35.4,26.4,2.26,2,2,1,0,1
gearvn,msi,msi modern 15 f13mg 082vn,intel core i5-1335u,n/a,16,ddr4,512,ssd,yes,15.6,1920x1080,60,n/a,46.8,3,1.7,windows 11 home,24,16490000,35.89,23.59,1.99,3,1,1,0,1
gearvn,msi,msi thin 15 b13ucx 2080vn,intel core i5-13420h,geforce rtx 2050,16,ddr4,512,ssd,yes,15.6,1920x1080,144,n/a,52.4,3,1.86,windows 11 home,24,16990000,35.9,25.4,2.17,3,1,1,0,1
gearvn,msi,msi prestige 14 ai studio c1veg 056vn,intel core ultra 7 155h,geforce rtx 4050,32,ddr5,1024,ssd,yes,14.0,2880x1800,n/a,n/a,90.0,4,1.7,windows 11 home,24,34990000,31.34,24.65,1.9,1,2,1,0,1
gearvn,msi,msi prestige 14 ai studio c1udxg 058vn,intel core ultra 7 155h,geforce rtx 3050,16,ddr5,1024,ssd,yes,14.0,1920x1200,144,n/a,90.0,4,1.7,windows 11 home,24,29990000,31.34,24.65,1.9,1,2,1,0,1
gearvn,lenovo,lenovo thinkpad p14s gen 5 21g2003pva,intel core ultra 7 155h,rtx 500 ada generation,32,ddr5,1024,ssd,yes,14.5,3072x1920,120,430,75.0,n/a,1.61,n,36,48490000,32.55,22.76,1.85,2,2,1,1,1
gearvn,lenovo,lenovo thinkpad p14s gen 5 21g2003nva,intel core ultra 7 155h,rtx 500 ada generation,32,ddr5,512,ssd,yes,14.5,3072x1920,120,430,75.0,n/a,1.61,n,36,47990000,32.55,22.76,1.85,2,2,1,1,1
gearvn,lenovo,lenovo thinkpad x13 gen 5 21lu004tvn,intel core ultra 7 155h,n/a,16,ddr5,1024,ssd,yes,13.3,1920x1200,n/a,300,54.7,n/a,1.17,windows 11 pro,36,39990000,30.17,21.48,1.59,2,2,1,0,1
gearvn,lenovo,lenovo thinkpad x1 carbon gen 12 21kc009nvn,intel core ultra 5 125h,n/a,32,ddr5,1024,ssd,yes,14.0,1920x1200,60,400,57.0,n/a,1.09,windows 11 pro,36,48490000,31.28,21.48,1.5,2,2,1,0,1
gearvn,lenovo,lenovo thinkbook 14 g6 irl 21kg00bqvn,intel core i7-1355u,n/a,16,ddr5,512,ssd,yes,14.0,1920x1200,n/a,300,45.0,n/a,1.38,windows 11 home,24,21490000,31.35,22.4,1.69,2,2,1,1,1
gearvn,acer,acer nitro 5 an515 46 r6qr,amd ryzen 7 6800h,geforce rtx 3060,16,ddr5,512,ssd,yes,15.6,1920x1080,165,n/a,57.0,4,2.5,windows 11 home,12,22990000,36.04,27.11,2.59,3,1,1,1,1
gearvn,acer,acer predator helios neo 16 phn16 72 78dq,intel core i7-14650hx,geforce rtx 4060,16,ddr5,1024,ssd,yes,16.0,2560x1600,240,500,90.0,4,2.8,windows 11 home,12,44990000,35.78,27.86,2.59,3,2,1,1,1
gearvn,asus,asus zenbook s 14 oled ux5406sa pv140ws,intel core ultra 7 258v,n/a,32,ddr5,1024,ssd,yes,14.0,2880x1800,120,500,72.0,4,1.2,windows 11 home,24,43990000,31.03,21.47,1.19,1,2,1,0,1
gearvn,lenovo,lenovo thinkbook 14 g7 iml 21mr006yvn,intel core ultra 5 125u,n/a,16,ddr5,512,ssd,yes,14.0,1920x1200,60,300,45.0,n/a,1.38,windows 11 home,24,21490000,31.35,22.4,1.69,2,2,1,1,1
gearvn,acer,acer nitro v anv15 51 76b9,intel core i7-13620h,geforce rtx 4050,16,ddr5,512,ssd,yes,15.6,1920x1080,180,300,57.0,4,2.1,windows 11 home,12,30990000,36.23,23.99,2.29,3,1,1,1,1
gearvn,hp,hp victus 16 s0142ax 9q989pa,amd ryzen 5 7640hs,geforce rtx 4060,32,ddr5,512,ssd,yes,16.1,1920x1080,144,250,70.0,4,2.31,windows 11 home,12,27990000,36.9,25.94,2.29,3,1,1,1,1
gearvn,msi,msi sword 16 hx b14vekg 856vn,intel core i7-14700hx,geforce rtx 4050,16,ddr5,1024,ssd,yes,16.0,1920x1200,165,n/a,65.0,4,2.3,windows 11 home,24,32990000,35.9,26.64,2.77,3,1,1,0,0
gearvn,hp,hp victus 16 r0215tx 9q9b8pa,intel core i7-13700h,geforce rtx 3050,32,ddr5,512,ssd,yes,16.1,1920x1080,144,250,70.0,4,2.31,windows 11 home,12,25990000,36.9,25.94,2.29,3,1,1,1,1
gearvn,acer,acer nitro v anv15 51 73uu,intel core i7-13620h,geforce rtx 3050,16,ddr5,512,ssd,yes,15.6,1920x1080,180,300,57.0,4,2.1,windows 11 home,12,26990000,36.23,23.99,2.29,3,1,1,1,1
gearvn,acer,acer swift x14 sfx14 72g 79uw,intel core ultra 7 155h,geforce rtx 4070,32,ddr5,1024,ssd,yes,14.5,2880x1800,120,400,76.0,76whr li-ion battery,1.5,windows 11 home,12,52990000,32.28,22.81,1.79,2,2,1,0,1
gearvn,acer,acer predator triton neo 16 ptn16 51 78jq,intel core ultra 7 155h,geforce rtx 4060,32,ddr5,2048,ssd,yes,16.0,2560x1600,240,500,76.0,76whr li-ion battery,2.05,windows 11 home,12,49990000,35.6,24.92,2.08,2,3,1,0,1
gearvn,acer,acer swift x14 sfx14 72g 708x,intel core ultra 7 155h,geforce rtx 4060,32,ddr5,1024,ssd,yes,14.5,2880x1800,120,400,76.0,76whr li-ion battery,1.5,windows 11 home,12,45990000,32.28,22.81,1.79,2,2,1,0,1
gearvn,asus,asus rog strix scar 16 g634jyr ra132w,intel core i9-14900hx,geforce rtx 4090,64,ddr5,2048,ssd,yes,16.0,2560x1600,240,1100,90.0,4,2.65,windows 11 home,24,117990000,35.4,26.4,2.26,2,2,1,0,1
gearvn,lenovo,lenovo thinkpad e16 gen 1 21jn00gjvn,intel core i5-13420h,n/a,8,ddr4,512,ssd,yes,16.0,1920x1200,n/a,300,47.0,n/a,1.81,windows 11 home,24,19490000,35.61,24.77,1.99,1,2,1,1,1
gearvn,lenovo,lenovo loq 15iax9 83gs001qvn,intel core i5-12450hx,geforce rtx 4050,12,ddr5,512,ssd,yes,15.6,1920x1080,144,300,60.0,3,2.38,windows 11 home,24,24490000,35.99,25.87,2.39,3,1,1,1,1
gearvn,acer,acer swift x14 sfx14 72g 77f9,intel core ultra 7 155h,geforce rtx 4050,32,ddr5,1024,ssd,yes,14.5,2880x1800,120,400,76.0,76whr li-ion battery,1.5,windows 11 home,12,43990000,22.81,22.79,1.79,n/a,n/a,n/a,n/a,n/a
gearvn,asus,asus vivobook s 14 oled s5406ma pp046ws,intel core ultra 5 125h,n/a,16,ddr5,512,ssd,yes,14.0,2880x1800,120,600,75.0,4,1.3,windows 11 home,24,24290000,35.93,22.94,1.79,2,2,1,0,1
gearvn,asus,asus vivobook s 14 oled m5406wa pp071ws,amd ryzen ai 9 hx 370,n/a,32,ddr5,1024,ssd,yes,14.0,2880x1800,120,600,75.0,4,1.3,windows 11 home,24,32990000,31.05,22.19,1.39,2,2,1,0,1
gearvn,acer,acer nitro v anv15 51 57b2,intel core i5-13420h,geforce rtx 4050,8,ddr5,512,ssd,yes,15.6,1920x1080,144,n/a,57.0,4,2.1,windows 11 home,12,25990000,36.23,23.99,2.29,3,1,1,1,1
gearvn,acer,acer swift go 14 sfg14 73 75ym,intel core ultra 7 155h,n/a,16,ddr5,512,ssd,yes,14.0,2880x1800,90,400,65.0,4,1.32,windows 11 home,12,26490000,31.29,21.79,1.49,2,2,1,0,1
gearvn,acer,acer swift go 14 sfg14 73 57fz,intel core ultra 5 125h,n/a,16,ddr5,512,ssd,yes,14.0,2880x1800,90,400,65.0,4,1.32,windows 11 home,12,23490000,31.29,21.79,1.49,2,2,1,0,1
gearvn,hp,hp victus 16-r0230tx 9q981pa,intel core i7-13700h,geforce rtx 3050,32,ddr5,512,ssd,yes,16.1,1920x1080,144,250,70.0,4,2.31,windows 11 home,12,25990000,36.9,25.94,2.29,3,1,1,1,1
gearvn,asus,asus rog zephyrus g16 ga605wi qr090ws,amd ryzen ai 9 hx 370,geforce rtx 4070,32,ddr5,1024,ssd,yes,16.0,2560x1600,240,500,90.0,4,1.85,windows 11 home,24,76990000,35.4,24.6,1.49,2,2,1,0,1
gearvn,hp,hp victus 16-r0127tx 8c5n2pa,intel core i7-13700h,geforce rtx 4060,16,ddr5,512,ssd,yes,16.1,1920x1080,144,250,70.0,4,2.31,windows 11 home,12,29990000,36.9,25.94,2.29,3,1,1,1,1
gearvn,hp,hp victus 16-r0226tx 9q977pa,intel core i7-13700h,geforce rtx 4050,32,ddr5,512,ssd,yes,16.1,1920x1080,144,250,70.0,4,2.31,windows 11 home,12,29990000,36.9,25.94,2.29,3,1,1,1,1
gearvn,lenovo,lenovo loq 15arp9 83jc003yvn,amd ryzen 7 7435hs,geforce rtx 4060,24,ddr5,512,ssd,yes,15.6,1920x1080,144,300,60.0,4,2.38,windows 11 home,24,27990000,35.99,25.87,2.39,3,1,1,1,1
gearvn,lenovo,lenovo yoga pro 7 14imh9 83e2006mvn,intel core ultra 7 155h,geforce rtx 4050,32,ddr5,1024,ssd,yes,14.5,2880x1800,120,400,73.0,3 pin 73wh,1.59,windows 11 home,24,43990000,32.55,22.65,1.66,1,2,1,0,1
gearvn,lenovo,lenovo legion 5 15irx9 83jj000fvn,intel core i7-13650hx,geforce rtx 4060,24,ddr5,512,ssd,yes,15.6,1920x1080,144,300,80.0,n/a,2.32,windows 11 home,24,34790000,35.88,26.14,2.46,3,2,1,1,1
