source,brand,name,cpu,vga,ram_amount,ram_type,storage_amount,storage_type,webcam_resolution,screen_size,screen_resolution,screen_refresh_rate,screen_brightness,battery_capacity,battery_cells,weight,default_os,warranty,price,width,depth,height,number_usb_a_ports,number_usb_c_ports,number_hdmi_ports,number_ethernet_ports,number_audio_jacks
hacom,acer,acer aspire lite al14-51m-59bn,intel core i5-1235u,n/a,16,ddr5,512,ssd,n/a,14.0,1920x1080,"màn hình: 14"" fhd ips 300 nits acer comfyview led backlit tft lcd",300,n/a,n/a,n/a,windows 11 home,12,13699000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
hacom,acer,acer aspire 7 a715-76-53pj,intel core i5-12450h,n/a,16,ddr4,512,ssd,hd,15.6,1920x1080,60,n/a,50.0,50wh li-ion battery 50wh li-ion battery,2.1,windows,12,14699000,36.23,23.74,1.99,2,2,0,1,1
hacom,asus,asus vivobook x1504va-nj070w,intel core i5-1335u,n/a,8,ddr4,512,ssd,hd,15.6,1920x1080,60,250,42.0,3,1.7,windows 11 home,24,15199000,35.97,23.25,1.79,0,1,1,0,1
hacom,asus,asus expertbook b1402cva-nk0062w,intel core i5-1335u,n/a,8,ddr4,512,ssd,hd,14.0,1920x1080,60,250,42.0,3,1.46,windows 11 home,24,13299000,32.69,21.45,1.99,0,1,1,0,0
hacom,asus,asus vivobook x1404za-nk389w,intel core i7-1255u,n/a,8,ddr4,512,ssd,hd,14.0,1920x1080,60,250,42.0,3,1.4,windows 11 home,24,14999000,32.49,21.39,1.79,0,1,1,0,1
hacom,asus,asus vivobook x1504za-nj582w,intel core i3-1215u,n/a,8,ddr4,512,ssd,hd,15.6,1920x1080,60,250,ø4.5. 45w ac adapter. output: 19v dc. 2.37a. 45w. input: 100~240v ac 50/60hz universal ø4.5. 45w ac adapter. output: 19v dc. 2.37a. 45w. input: 100~240v ac 50/60hz universal,"ø4.5, 45w ac adapter, output: 19v dc, 2.37a, 45w, input: 100~240v ac 50/60hz universal ø4.5, 45w ac adapter, output: 19v dc, 2.37a, 45w, input: 100~240v ac 50/60hz universal",1.7,windows 11 home,24,9799000,42.0,3.0,1.0,0,1,1,0,0
hacom,asus,asus vivobook e1504fa-nj454w,amd ryzen 5 7520u,n/a,16,ddr5,512,ssd,hd,15.6,1920x1080,60,250,42.0,3,1.8,windows 11 home,24,12199000,n/a,n/a,n/a,1,2,1,0,1
hacom,asus,asus vivobook x1504za-nj517w,intel core i5-1235u,n/a,8,ddr4,512,ssd,hd,15.6,1920x1080,60,250,42.0,3,1.7,windows,24,13999000,35.97,23.25,1.79,0,1,1,0,1
hacom,acer,acer aspire go ag15-31p-32u6,cpu: intel core i3-n305,n/a,8,ddr5,512,ssd,n/a,15.6,1920x1080,"màn hình: 15.6"" fhd acer comfyview ips led lcd fhd(1920 x 1080),250nits,45% ntsc",250,n/a,n/a,n/a,windows 11 home,12,9299000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
hacom,acer,acer aspire 5 a515-58p-35eu,intel core i3-1305u,n/a,8,ddr5,512,ssd,n/a,15.6,1920x1080,60,n/a,n/a,n/a,n/a,windows,12,9999000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
