source,brand,name,cpu,vga,ram_amount,ram_type,storage_amount,storage_type,webcam_resolution,screen_size,screen_resolution,screen_refresh_rate,screen_brightness,battery_capacity,battery_cells,weight,default_os,warranty,price,width,depth,height,number_usb_a_ports,number_usb_c_ports,number_hdmi_ports,number_ethernet_ports,number_audio_jacks
laptop88,lenovo,lenovo loq 15arp9 83jc0001us,amd ryzen 5 7235hs,geforce rtx 3050,12,ddr5,512,ssd,yes,15.6,1920x1080,144,300,60.0,4,2.38,n/a,12,16990000,35.99,25.87,2.39,n/a,n/a,n/a,n/a,n/a
laptop88,lenovo,lenovo loq 15iax9 83gs000rvn,intel core i5-12450hx,geforce rtx 4050,8,ddr5,512,ssd,yes,15.6,1920x1080,144,300,60.0,n/a,2.38,windows 11 home,24,24490000,35.99,25.87,2.39,n/a,n/a,n/a,n/a,n/a
laptop88,lenovo,lenovo loq 15iax9 83gs001rvn,n/a,geforce rtx 3050,12,ddr5,512,ssd,yes,15.6,1920x1080,144,300,60.0,n/a,2.38,windows 11 home,24,20890000,35.99,25.87,2.39,n/a,n/a,n/a,n/a,n/a
laptop88,dell,dell inspiron 16 5630,intel core i5-1340p,n/a,16,ddr5,512,ssd,no,16.0,1920x1200,n/a,n/a,54.0,4,1.85,windows,12,15990000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
laptop88,asus,asus zenbook 14 oled ux3405ma-pp588w,intel core ultra 5 125h,n/a,16,ddr5,512,ssd,yes,14.0,3072x1728,n/a,n/a,75.0,4,n/a,windows 11 home,24,25990000,n/a,n/a,n/a,1,2,1,0,1
laptop88,lenovo,lenovo ideapad slim 5 14imh9 83da001nvn,intel core ultra 5 125h,n/a,16,ddr5,512,ssd,yes,14.0,1920x1200,n/a,400,57.0,n/a,1.46,windows 11 home,24,19690000,31.2,22.1,1.79,n/a,n/a,n/a,n/a,n/a
laptop88,asus,asus vivobook 15 oled a1505va-ma492w,intel core i7-13700h,n/a,8,ddr4,512,ssd,yes,15.6,2880x1620,120,n/a,50.0,3,1.7,windows 11 home,24,19690000,35.68,22.76,1.99,3,1,1,0,0
laptop88,dell,dell latitude 3520,intel core i5-1135g,n/a,8,ddr4,256,ssd,yes,15.6,mànhình15.6inchhd,n/a,n/a,n/a,n/a,1.6,n/a,12,9990000,32.65,22.64,1.84,2,2,1,1,0
laptop88,asus,asus tuf gaming a15 fa507uv-lp090w,amd ryzen 9 8945hs,n/a,16,ddr5,512,ssd,no,15.6,1920x1080,144,n/a,n/a,n/a,n/a,n/a,24,30990000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
laptop88,asus,asus zenbook 14 oled q415m-u5512,cpu intel,n/a,8,ddr5,512,ssd,yes,14.0,1920x1200,60,500,75.0,4,1.28,n/a,12,14990000,n/a,n/a,n/a,1,0,1,0,0
laptop88,microsoft,microsoft surface go 3 platinum 6500y,cpu intel pentium gold 6500y,n/a,8,ddr3,128,ssd,yes,10.5,1920x1280,n/a,n/a,28.0,"pin


li-po, 28 wh",0.544,windows,12,11490000,n/a,n/a,n/a,0,1,0,0,1
laptop88,lg,lg gram 16z90r-g.ah76a5,intel core i7-1360p,n/a,16,ddr5,512,ssd,yes,16.0,2560x1600,n/a,350,80.0,80wh,1.199,windows 11 home,12,29990000,35.51,24.23,1.68,2,2,1,0,0
laptop88,lenovo,lenovo legion 5 pro y9000p irx9 83df000xcd,intel core i9-14900hx,geforce rtx 4060,32,ddr5,1024,ssd,yes,16.0,2560x1600,240,n/a,80.0,4,2.53,windows,12,42990000,n/a,n/a,n/a,4,2,1,0,1
laptop88,dell,dell inspiron 16 plus 7630,intel core i7-13620h,geforce rtx 4060,32,ddr5,1024,ssd,no,16.0,2560x1600,n/a,300,n/a,n/a,2.06,n/a,12,18990000,17.11,0.79,0.67,n/a,n/a,n/a,n/a,n/a
laptop88,lenovo,lenovo legion y7000p irx9-83dg0002cd,intel core i7-14650hx,geforce rtx 4060,16,ddr5,1024,ssd,yes,16.0,"mànhình16""wqxga(2560×1600)ips500nitsanti-glare,100%srgb,165hz",165,500,80.0,3,2.35,n/a,12,34290000,36.0,26.7,1.99,4,2,1,1,1
laptop88,asus,asus vivobook 16x k3605zc-rp564w,intel core i5-12500h,n/a,16,ddr4,512,512gb,yes,16.0,1920x1200,n/a,n/a,n/a,n/a,1.8,windows 11 home,24,18790000,35.86,24.91,1.89,2,1,1,0,1
laptop88,dell,dell precision 3561,n/a,n/a,16,ddr4,512,hdd,yes,15.6,1920x1080,60,n/a,n/a,n/a,1.79,n/a,12,14390000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
laptop88,lenovo,lenovo loq g5000 15irx9 83dv000kcd,intel core i7-13650hx,geforce rtx 4050,16,ddr5,512,ssd,yes,15.6,1920x1080,144,300,60.0,n/a,2.38,windows 11 home,12,25990000,35.99,25.87,2.39,n/a,n/a,n/a,n/a,n/a
laptop88,asus,asus vivobook 15 oled a1505va-ma468w,intel core i5-13500h,n/a,8,ddr4,512,ssd,yes,n/a,2880x1620,120,n/a,50.0,3,1.7,n/a,24,17790000,35.68,22.76,1.99,3,1,1,0,0
laptop88,asus,asus vivobook 15 x1504va-nj069w,n/a,n/a,8,ddr4,512,ssd,no,15.6,kíchthướcmànhình15.6-inchfullhd,n/a,n/a,42.0,3,n/a,n/a,24,10390000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
laptop88,lenovo,lenovo ideapad 16s iru9 83e7,intel core 5-120u,n/a,8,ddr5,512,ssd,no,16.0,1920x1080,n/a,300,n/a,n/a,n/a,n/a,12,13990000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
laptop88,hp,hp envy x360  16-ad0013dx 9r8r9ua,cpu amd r5-8640hs,n/a,8,ddr5,512,ssd,no,16.0,1920x1080,n/a,n/a,"pin


li-ion. 3-cell",3,n/a,n/a,12,13990000,n/a,n/a,n/a,2,2,1,0,1
laptop88,lenovo,lenovo ideapad pro 5 16irh8 83aq000qus,intel core i5-13500h,geforce rtx 3050,16,ddr5,1024,ssd,yes,16.0,2560x1600,120,350,75.0,n/a,1.95,n/a,12,21990000,35.6,25.1,1.75,n/a,n/a,n/a,n/a,n/a
laptop88,lenovo,lenovo ideapad slim 5 16imh9 83dc001rvn,intel core ultra 5 125h,n/a,16,ddr5,512,ssd,yes,16.0,2048x1280,120,400,57.0,n/a,1.82,windows 11 home,24,20990000,35.6,25.1,1.69,n/a,n/a,n/a,n/a,n/a
laptop88,lenovo,lenovo thinkbook 16 g7 ahp 21mu0003cd,amd ryzen 7 8845h,n/a,16,ddr5,1024,ssd,yes,16.0,2560x1600,120,n/a,n/a,n/a,1.84,windows,12,21290000,35.6,25.1,1.69,2,2,1,0,1
laptop88,asus,asus vivobook 14 x1404za-nk389w,n/a,n/a,16,ddr4,512,ssd,yes,14.0,1920x1080,60,n/a,50.0,3,1.4,n/a,24,14990000,32.49,21.39,1.79,n/a,n/a,n/a,n/a,n/a
laptop88,asus,asus vivobook 14 oled a1405va-km095w,n/a,n/a,16,ddr4,512,ssd,yes,14.0,2880x1800,90,n/a,50.0,3,1.6,n/a,24,16790000,31.71,22.2,1.99,n/a,n/a,n/a,n/a,n/a
laptop88,asus,asus vivobook 15 x1504za-nj517w,intel core i5-1235u,n/a,16,ddr4,chỉcóssdchỉcóssd,ssd,no,15.6,1920x1080,60,250,42.0,3,1.7,windows 11 home,24,13690000,35.97,23.25,1.79,3,1,1,0,0
laptop88,asus,asus tuf gaming a15 fa506nfr-hn075w,amd ryzen 7 7435hs,n/a,16,ddr5,512,ssd,yes,15.6,1920x1080,144,n/a,48.0,3,2.3,n/a,24,18390000,35.9,25.6,2.28,3,1,0,0,0
laptop88,lenovo,lenovo legion r7000 aph9 83lq0005cd,amd ryzen 7 8745h,n/a,16,ddr5,512,ssd,no,15.6,1920x1080,144,n/a,80.0,80wh,n/a,n/a,12,28290000,n/a,n/a,n/a,0,0,0,0,0
laptop88,lg,lg gram 2024 16z90s-h.adb9u1,intel core ultra 7 155h,n/a,32,ddr5,2048,ssd,no,16.0,2560x1600,n/a,n/a,n/a,n/a,n/a,n/a,12,35990000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
laptop88,acer,acer shadow sh16-41-7g41 zln01cq00d,n/a,n/a,16,16gb ram,512,ssd,no,15.6,1920x1200,165,n/a,n/a,n/a,n/a,n/a,12,24990000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
laptop88,lenovo,lenovo legion 5 15irx9 83jj000fvn,intel core i7-13650hx,geforce rtx 4060,12,ddr5,512,ssd,yes,15.6,1920x1080,144,300,60.0,n/a,2.32,windows 11 home,24,33590000,35.88,26.14,2.46,n/a,n/a,n/a,n/a,n/a
laptop88,lenovo,lenovo thinkbook 16p g5 irx 21n5001xcd 2024,intel core i7-14650hx,n/a,16,ddr5,1024,ssd,no,16.0,2048x1280,165,430,80.0,4,2.2,n/a,12,34990000,n/a,n/a,n/a,0,0,0,0,0
laptop88,asus,asus vivobook s 14 oled s5406ma-pp046ws,n/a,n/a,16,ddr5,512,ssd,no,14.0,2880x1800,120,n/a,75.0,4,1.3,n/a,24,23990000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
laptop88,asus,asus tuf gaming a15 fa506ncr-hn047w,cpu amd r7-7435hs,n/a,16,ddr5,512,ssd,yes,15.6,1920x1080,144,250,56.0,4,2.2,windows 11 home,24,20490000,35.4,25.1,2.24,2,2,1,1,0
laptop88,asus,asus vivobook 15 oled a1505va-ma469w,intel core i9-13900h,n/a,8,ddr4,512,ssd,yes,n/a,2880x1620,120,n/a,50.0,3,1.7,windows 11 home,24,21990000,35.68,22.76,1.99,3,1,1,0,0
laptop88,lenovo,lenovo loq 15irx9 83dv00d5vn,intel core i7-13650hx,geforce rtx 4050,16,ddr5,512,ssd,yes,15.6,1920x1080,144,300,60.0,n/a,2.38,windows 11 home,24,28590000,35.99,25.87,2.39,n/a,n/a,n/a,n/a,n/a
laptop88,lenovo,lenovo thinkbook 14 g6+ ahp 21lf0002cd,amd ryzen 7 8845h,n/a,32,ddr5,1024,ssd,no,14.5,3072x1920,120,n/a,n/a,n/a,n/a,n/a,12,22990000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
laptop88,asus,asus vivobook 15 oled m3504ya-l1268w,amd ryzen 5 7530u,n/a,16,ddr4,512,ssd,yes,15.6,1920x1080,60,600,50.0,3,1.6,n/a,24,14690000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
laptop88,lenovo,lenovo thinkbook 14 g6 irl 21kg006lcd,intel core i5-13500h,n/a,16,ddr5,1024,ssd,no,n/a,2240x1400,n/a,n/a,n/a,n/a,n/a,n/a,12,17590000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
laptop88,lg,lg gram 2024 14z90s,intel core ultra 5 125h,n/a,16,ddr5,512,ssd,no,14.0,1920x1200,n/a,350,72.0,"pin




72wh",0.0011200000000000001,n/a,12,30490000,n/a,n/a,n/a,1,2,1,0,0
laptop88,dell,dell inspiron 14 plus 7440a-r1605l,intel core i5-12450h,n/a,16,ddr5,512,ssd,no,14.5,1920x1200,n/a,n/a,n/a,n/a,n/a,n/a,12,15990000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
laptop88,lenovo,lenovo loq 15iax9 83gs001bus,intel core i5-12450hx,geforce rtx 2050,12,ddr5,512,ssd,yes,15.6,1920x1080,144,300,60.0,n/a,2.38,windows 11 home,12,16990000,35.99,25.87,2.39,n/a,n/a,n/a,n/a,n/a
laptop88,dell,dell inspiron 16 7640  62j95,intel core ultra 7 155h,n/a,16,n/a,1024,ssd,no,16.0,1920x1200,n/a,300,n/a,n/a,1.9,n/a,12,22990000,35.68,16.7,1.9,2,1,1,0,0
laptop88,lenovo,thinkpad t14 gen 3,intel core i7-1265u,n/a,16,ddr4,256,ssd,no,14.0,1920x1200,60,300,n/a,n/a,n/a,n/a,12,15990000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
laptop88,lenovo,lenovo ideapad 15s iru8 82x7xxxxxx,intel core i3-1305u,n/a,8,ddr5,512,ssd,no,15.6,1920x1080,n/a,300,n/a,n/a,n/a,n/a,12,9990000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
laptop88,lenovo,lenovo ideapad 15s iru9 83e6xxxxxx,intel core 5-120u,n/a,8,ddr5,512,ssd,no,15.6,1920x1080,n/a,300,n/a,n/a,n/a,n/a,12,13990000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
laptop88,lenovo,lenovo yoga 7  14iml9 83dj001fvn,intel core ultra 7 155h,n/a,16,ddr5,512,ssd,yes,14.0,1920x1200,60,400,71.0,n/a,1.49,windows 11 home,24,27990000,31.77,22.21,1.66,n/a,n/a,n/a,n/a,n/a
laptop88,asus,asus tuf gaming f15 fx507zc4-hn074w,intel core i5-12500h,n/a,8,ddr4,512,ssd,yes,15.6,1920x1080,144,250,56.0,4,2.2,windows 11 home,24,18990000,35.4,25.1,2.24,2,2,1,1,0
laptop88,msi,msi modern 15 b13m 438vn,n/a,n/a,8,ddr4,512,hdd,yes,15.6,1920x1080,60,n/a,n/a,n/a,n/a,n/a,24,11790000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
laptop88,lenovo,lenovo ideapad slim 5 16imh9 83dc001svn,intel core ultra 7 155h,n/a,32,ddr5,512,ssd,yes,16.0,2560x1440,120,400,57.0,n/a,1.89,windows 11 home,24,24590000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
laptop88,lenovo,lenovo legion slim 5 16irh8 82ya00bsvn,intel core i5-13500h,geforce rtx 4050,8,ddr5,512,ssd,yes,16.0,2560x1600,165,300,80.0,n/a,2.4,windows 11 home,36,28990000,35.97,26.03,2.19,n/a,n/a,n/a,n/a,n/a
laptop88,lenovo,lenovo legion 5 pro 16irx9 83df0046vn,intel core i9-14900hx,geforce rtx 4070,32,ddr5,1024,ssd,yes,16.0,2560x1600,240,500,80.0,4,2.4,n/a,24,50990000,35.97,26.03,2.52,n/a,n/a,n/a,n/a,n/a
laptop88,asus,asus zenbook 14 oled ux3405ma-pp151w,intel core ultra 5 125h,n/a,16,ddr5,512,ssd,yes,14.0,3072x1728,n/a,n/a,75.0,4,n/a,windows 11 home,24,25990000,n/a,n/a,n/a,1,2,1,0,1
laptop88,dell,dell xps 13 9340 t7n66,n/a,n/a,16,ddr5,512,ssd,no,13.4,1920x1080,n/a,n/a,n/a,n/a,n/a,n/a,12,31990000,32.0,21.6,1.8,0,4,0,0,0
laptop88,asus,asus vivobook s 14 oled m5406wa-pp071ws,n/a,n/a,32,ddr5,1024,ssd,no,14.0,2880x1800,120,n/a,75.0,4,1.3,n/a,24,31490000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
laptop88,asus,asus vivobook s 16 oled s5606ma-mx051w,intel core ultra 7 155h,n/a,16,ddr5,512,ssd,yes,16.0,3200x2000,120,n/a,75.0,4,1.5,windows 11 home,24,26390000,35.36,24.69,1.39,2,2,1,0,0
laptop88,lg,lg gram 2024 17z90s,intel core ultra 7 155h,n/a,16,ddr5,1024,ssd,no,17.0,2560x1600,n/a,350,77.0,"pin




77wh",0.00135,n/a,12,41990000,n/a,n/a,n/a,1,2,1,0,0
laptop88,lg,lg gram 2024 16z90s,intel core ultra 7 155h,n/a,16,ddr5,512,ssd,no,16.0,2560x1600,n/a,320,77.0,"pin




77wh",0.001199,n/a,12,38990000,n/a,n/a,n/a,1,2,1,0,0
laptop88,lenovo,lenovo thinkbook x imh-21nw0002cd,intel core ultra 9 185h,n/a,32,ddr5,1024,ssd,yes,n/a,2880x1920,120,500,n/a,n/a,1.14,n/a,12,34590000,29.4,20.5,1.29,0,3,0,0,0
laptop88,lenovo,lenovo legion 5 pro 16irx9 83df0047vn,intel core i9-14900hx,geforce rtx 4060,32,ddr5,1024,ssd,yes,16.0,2560x1600,240,500,80.0,4,2.4,n/a,24,44390000,35.97,26.03,2.52,n/a,n/a,n/a,n/a,n/a
laptop88,asus,asus tuf gaming f15 fx507vu-lp198w,intel core i7-13620h,n/a,8,ddr5,512,ssd,yes,15.6,1920x1080,144,250,56.0,4,n/a,n/a,24,24900000,n/a,n/a,n/a,2,2,1,1,1
laptop88,asus,asus rog strix g16 g614ju-n4132w,intel core i7-13650hx,n/a,16,ddr5,512,ssd,yes,n/a,2560x1600,240,n/a,90.0,4,2.5,windows,24,34990000,35.4,26.4,2.26,2,2,0,0,0
laptop88,lenovo,lenovo yoga 7  14ahp9-83dk000aus,amd ryzen 7 8840hs,n/a,16,ddr5,1024,ssd,yes,14.0,1920x1200,60,300,71.0,n/a,1.61,windows 11 home,12,20990000,31.77,22.21,1.66,n/a,n/a,n/a,n/a,n/a
laptop88,lg,lg gram super slim 2024 15z90st,intel core ultra 7 155h,n/a,16,ddr5,512,ssd,no,15.6,1920x1080,n/a,n/a,60.0,"pin




60whr",0.99,n/a,12,39990000,n/a,n/a,n/a,1,2,1,0,0
laptop88,lg,lg gram pro 16z90sp,intel core ultra 7 155h,n/a,16,ddr5,512,ssd,no,16.0,2880x1800,n/a,n/a,77.0,"pin




77wh",0.001279,n/a,12,44590000,n/a,n/a,n/a,1,2,1,0,0
laptop88,hp,hp envy x360  14-es1023dx 9r8r3ua,intel core 7 150u,n/a,16,ddr4,512,ssd,yes,14.0,1920x1080,n/a,300,3 cells,3,1.4,n/a,12,17990000,n/a,n/a,n/a,2,2,1,0,0
laptop88,dell,dell inspiron 14 5430 r1605s,intel core i5-1340p,n/a,16,ddr5,512,ssd,no,14.0,1920x1200,n/a,n/a,54.0,4,1.85,windows,12,15990000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
laptop88,hp,hp envy x360  14-fa0023dx 9s1r4ua,cpu amd r7-8840hs,n/a,16,ddr5,1024,ssd,no,14.0,1920x1200,n/a,n/a,n/a,n/a,n/a,n/a,12,17990000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
laptop88,lenovo,lenovo legion 5 16irx9 83dg004nus,intel core i7-14650hx,geforce rtx 4060,16,ddr5,512,ssd,yes,16.0,2560x1600,165,350,80.0,n/a,2.36,windows 11 home,12,31990000,35.97,26.23,2.52,n/a,n/a,n/a,n/a,n/a
laptop88,acer,acer gaming predator helios neo 16 phn16-72-91rf,intel core i9-14900hx,n/a,16,ddr5,1024,ssd,yes,16.0,2560x1600,240,500,90.0,4,n/a,windows 11 home,12,33990000,n/a,n/a,n/a,3,2,1,0,1
laptop88,asus,asus vivobook 14 oled a1405za-km264w,intel core i5-12500h,n/a,16,ddr4,512,ssd,yes,14.0,2880x1800,90,600,50.0,3,n/a,windows 11 home,24,15690000,n/a,n/a,n/a,3,1,1,0,1
laptop88,lenovo,lenovo loq 15iax9 83gs005kvn,intel core i5-12450hx,geforce rtx 2050,12,ddr5,512,ssd,yes,15.6,1920x1080,144,300,60.0,n/a,2.38,windows 11 home,24,18990000,35.99,25.87,2.39,n/a,n/a,n/a,n/a,n/a
laptop88,dell,dell inspiron 14 7440  1cpd4,cpu processor intel core 5 120u,n/a,8,ddr5,512,ssd,yes,14.0,1920x1200,60,n/a,54.0,4,1.71,n/a,12,15990000,n/a,n/a,n/a,2,2,1,0,0
laptop88,lenovo,lenovo ideapad slim 3 15irh8 83em003evn,intel core i7-13620h,n/a,16,ddr5,512,ssd,yes,15.6,1920x1080,n/a,300,47.0,n/a,1.62,windows 11 home,24,16790000,35.93,23.5,1.79,n/a,n/a,n/a,n/a,n/a
laptop88,hp,hp pavilion 16-af0945nr a3sp2ua,intel core ultra 7 155u,n/a,16,ddr5,512,ssd,no,16.0,1920x1200,n/a,n/a,n/a,n/a,n/a,n/a,12,16990000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
laptop88,asus,asus vivobook pro 15 oled q533mj-u73050,intel core ultra 7 155h,geforce rtx 3050,16,ddr5,1024,ssd,no,15.6,1920x1080,60,600,75.0,3,1.9,windows,12,24990000,n/a,n/a,n/a,2,2,1,0,0
laptop88,asus,asus zenbook 14 oled q425m-u71tb,intel core ultra 7 155h,n/a,16,ddr5,1024,ssd,yes,14.0,1920x1200,60,500,75.0,4,1.28,n/a,12,21690000,n/a,n/a,n/a,1,0,1,0,0
laptop88,samsung galaxy,samsung galaxy book 4 np750xgk-ks2us,intel core 7 series 1 - 150u,n/a,16,ddr5,512,ssd,no,15.6,15.6inchfullhd,n/a,n/a,n/a,n/a,n/a,n/a,12,16390000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
laptop88,asus,asus gaming vivobook 16x k3605zf-rp634w [pro,intel core i5-12500h,n/a,16,ddr4,512,ssd,yes,16.0,1920x1200,144,300,50.0,3,n/a,windows 11 home,24,16990000,n/a,n/a,n/a,2,1,1,0,1
laptop88,msi,msi thin 15 b13uc 1411vn,intel core i7-13620h,n/a,8,ddr4,512,ssd,no,15.6,1920x1080,144,n/a,53.0,53whrs battery,n/a,n/a,24,18690000,n/a,n/a,n/a,3,1,1,0,0
laptop88,hp,hp envy x360  14-fa0013dx 9s1r3ua,cpu amd r5-8640hs,n/a,16,ddr5,512,ssd,yes,14.0,1920x1080,n/a,n/a,"pin


li-ion. 3-cell",3,1.52,n/a,12,15590000,n/a,n/a,n/a,2,1,1,0,1
laptop88,hp,hp 15-fd0999nr a3sp1ua,intel core i5-1235u,n/a,8,ddr4,512,ssd,no,15.6,15.6inchfullhd,n/a,n/a,n/a,n/a,n/a,n/a,12,11590000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
laptop88,lenovo,lenovo loq 15iax9 83gs001svn,intel core i5-12450hx,geforce rtx 2050,12,ddr5,512,ssd,yes,15.6,1920x1080,144,300,60.0,n/a,2.38,windows 11 home,24,17790000,35.99,25.87,2.39,n/a,n/a,n/a,n/a,n/a
laptop88,hp,hp victus 15 fa0033dx 9t9r8ua,intel core i5-12450h,geforce rtx 3050,8,ddr4,512,ssd,yes,15.6,1920x1080,144,n/a,n/a,n/a,2.4,n/a,12,16290000,n/a,n/a,n/a,2,1,1,1,1
