source,brand,name,cpu,vga,ram_amount,ram_type,storage_amount,storage_type,webcam_resolution,screen_size,screen_resolution,screen_refresh_rate,screen_brightness,battery_capacity,battery_cells,weight,default_os,warranty,price,width,depth,height,number_usb_a_ports,number_usb_c_ports,number_hdmi_ports,number_ethernet_ports,number_audio_jacks
laptop88,dell,dell inspiron 14 5430 r1605s,intel core i5-1340p,n/a,16,ddr5,512,ssd,no,14.0,1920x1200,n/a,n/a,54.0,4,1.85,windows,12,15990000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
laptop88,hp,hp 15-fd0999nr a3sp1ua,intel core i5-1235u,n/a,8,ddr4,512,ssd,no,15.6,15.6inchfullhd15.6inchfullhd,n/a,n/a,n/a,n/a,n/a,n/a,12,11590000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
laptop88,lenovo,lenovo loq 15iax9 83gs001svn,intel core i5-12450hx,geforce rtx 2050,12,ddr5,512,ssd,yes,15.6,1920x1080,144,300,60.0,n/a,2.38,windows 11 home,24,17790000,35.99,25.87,2.39,n/a,n/a,n/a,n/a,n/a
laptop88,hp,hp envy x360  16-ac0013dx 9s1r5ua,n/a,n/a,16,ddr5,512,ssd,yes,16.0,1920x1200,n/a,n/a,59.0,3,1.87,n/a,12,16590000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
laptop88,asus,asus zenbook 14 oled ux3405ma-pp588w,intel core ultra 5 125h,n/a,16,ddr5,512,ssd,yes,14.0,3072x1728,n/a,n/a,75.0,4,n/a,windows 11 home,24,25990000,n/a,n/a,n/a,2,4,1,0,1
laptop88,lenovo,lenovo ideapad slim 5 14imh9 83da001nvn,intel core ultra 5 125h,n/a,16,ddr5,512,ssd,yes,14.0,1920x1200,n/a,400,57.0,n/a,1.46,windows 11 home,24,19690000,31.2,22.1,1.79,n/a,n/a,n/a,n/a,n/a
laptop88,asus,asus vivobook 15 oled a1505va-ma492w,intel core i7-13700h,n/a,8,ddr4,512,ssd,yes,15.6,2880x1620,120,n/a,50.0,3,1.7,windows 11 home,24,19690000,35.68,22.76,1.99,6,2,1,0,0
laptop88,lenovo,lenovo legion y7000p irx9-83dg0003cd,intel core i7-14650hx,geforce rtx 4050 card vga geforce rtx 4050,16,ddr5,1024,ssd,yes,16.0,"mànhình16""wqxga(2560×1600)ips500nitsanti-glare,100%srgb,165hzmànhình16""wqxga(2560×1600)ips500nitsanti-glare,100%srgb,165hz",165,500,n/a,n/a,2.35,n/a,12,31590000,36.0,26.7,1.99,8,4,1,1,1
laptop88,asus,asus tuf gaming a15 fa507nv-lp061w,n/a,n/a,16,ddr5,1024,hdd,yes,15.6,1920x1080,144,n/a,90.0,4,2.2,n/a,24,28990000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
laptop88,msi,msi prestige 16 ai studio b1vf-062vn,intel core ultra 7 155h,n/a,32,ddr5,1024,ssd,no,13.3,7680x4320,n/a,n/a,n/a,n/a,n/a,n/a,24,32990000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
laptop88,lenovo,lenovo legion 5 pro y9000p irx9 83df000vcd,intel core i9-14900hx,geforce rtx 4060,16,ddr5,1024,ssd,yes,16.0,2560x1600,240,n/a,80.0,4,2.53,windows,12,38990000,n/a,n/a,n/a,8,4,1,0,1
laptop88,lenovo,lenovo v14-iil 82c4a02jvn,intel core i7-1065g,n/a,8,ddr4,256,ssd,no,14.0,1920x1080,n/a,n/a,n/a,n/a,1.6,n/a,12,11990000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
laptop88,dell,dell latitude 3520,intel core i5-1135g,n/a,8,ddr4,256,ssd,yes,15.6,mànhình15.6inchhdmànhình15.6inchhd,n/a,n/a,n/a,n/a,1.6,n/a,12,9990000,32.65,22.64,1.84,4,4,1,1,0
laptop88,dell,dell g15 5530-9rt49,intel core i5-13450hx,geforce rtx 3050,16,ddr5,512,ssd,yes,n/a,1920x1080,120,n/a,56.0,3,2.81,windows 11 home,12,19990000,35.73,26.95,1.06,n/a,n/a,n/a,n/a,n/a
laptop88,dell,dell inspiron 16 5620 r1605sdcxm888,intel core i5-1240p,n/a,16,ddr4,512,ssd,no,16.0,1920x1200,n/a,n/a,n/a,n/a,n/a,windows,12,15290000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
laptop88,asus,asus rog strix scar 16 g634jz-n4029w,intel core i9-13980hx,n/a,32,ddr5,1024,ssd,no,16.0,2560x1440,n/a,n/a,n/a,n/a,n/a,windows,24,67490000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
laptop88,asus,asus rog strix scar 18 g834jy-n6039w,intel core i9-13980hx,n/a,64,ddr5,2048,ssd,no,18.0,2560x1440,240,n/a,n/a,n/a,n/a,windows,24,96690000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
