source,brand,name,cpu,vga,ram_amount,ram_type,storage_amount,storage_type,webcam_resolution,screen_size,screen_resolution,screen_refresh_rate,screen_brightness,battery_capacity,battery_cells,weight,default_os,warranty,price,width,depth,height,number_usb_a_ports,number_usb_c_ports,number_hdmi_ports,number_ethernet_ports,number_audio_jacks
laptopaz,lenovo,lenovo loq 2024 15iax9 83gs001svn,intel core i5-12450hx,geforce rtx 2050,12,ddr5,512,ssd,yes,15.6,1920x1080,144,300,60.0,4,2.4,windows,24,17990000,n/a,n/a,n/a,0,1,1,1,1
laptopaz,lenovo,lenovo thinkbook 16 g6+ 2024,intel core ultra 5 125h,n/a,16,ddr5,512,ssd,yes,16.0,n/a,120,n/a,85.0,4,1.9,windows,12,21290000,n/a,n/a,n/a,0,3,1,0,1
laptopaz,lenovo,lenovo loq 2024 15iax9 83gs001rvn,intel core i5-12450hx,geforce rtx 3050,12,ddr5,512,ssd,yes,15.6,1920x1080,144,300,60.0,4,2.4,windows,24,20890000,n/a,n/a,n/a,0,1,1,1,1
laptopaz,acer,acer predator helios neo 2024 phn16-72-91rf,intel core i9-14900hx,geforce rtx 4060,16,ddr5,1024,ssd,yes,16.0,2560x1600,240,500,90.0,4,2.6,windows,12,33990000,n/a,n/a,n/a,1,0,1,0,1
laptopaz,dell,dell vostro 3425,n/a,n/a,8,ddr4,256,ssd,no,n/a,1920x1080,60,n/a,41.0,3,1.4,windows,n/a,11290000,n/a,n/a,n/a,1,0,1,1,1
laptopaz,dell,laptop dell xps 15 9520,intel core i5-12500h,n/a,16,ddr5,256,ssd,no,15.6,1920x1200,60,n/a,86.0,n/a,1.92,windows,n/a,38890000,n/a,n/a,n/a,0,0,0,0,1
laptopaz,dell,dell inspiron 7440 plus 2024,intel core i5-12450h,n/a,16,ddr5,1024,ssd,yes,14.0,1920x1200,n/a,300,64.0,4,1.6,windows,12,17390000,n/a,n/a,n/a,0,2,1,0,1
laptopaz,acer,acer nitro 5 2022 an515-58,intel core i5-12500h,geforce rtx 3050,16,ddr4,512,ssd,no,15.6,1920x1080,144,n/a,n/a,4,2.4,windows 11 home,n/a,12990000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
laptopaz,lenovo,lenovo loq 2023 15aph8,amd ryzen 7 7840hs,geforce rtx 4050,8,ddr5,512,ssd,yes,15.6,1920x1080,144,n/a,60.0,4,2.4,windows,n/a,24690000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
laptopaz,asus,asus vivobook pro 14 oled k3400pa,intel core i5-11300h,n/a,16,ddr4,512,ssd,yes,n/a,2880x1800,90,600,63.0,3,1.4,windows,n/a,22790000,n/a,n/a,n/a,0,1,1,0,1
laptopaz,acer,acer nitro 5 an515-58-57qw,intel core i5-12450h,geforce rtx 3050,16,ddr4,512,ssd,no,15.6,1920x1080,144,n/a,57.0,4,2.4,n/a,n/a,12990000,n/a,n/a,n/a,0,1,1,0,0
