source,brand,name,cpu,vga,ram_amount,ram_type,storage_amount,storage_type,webcam_resolution,screen_size,screen_resolution,screen_refresh_rate,screen_brightness,battery_capacity,battery_cells,weight,default_os,warranty,price,width,depth,height,number_usb_a_ports,number_usb_c_ports,number_hdmi_ports,number_ethernet_ports,number_audio_jacks
laptopworld,apple,macbook pro 14inch m3 mr7j3sa,apple m3 8-core,n/a,512,n/a,8,"8gb




bộ nhớ thống nhất 8gb




có thể nâng cấp thành:




16gb hoặc 24gb",fhd,14.2,3024x1964,120,n/a,"m3




thời gian xem phim trên ứng dụng apple tv lên đến 22 giờ


thời gian duyệt web trên mạng không dây lên đến 15 giờ


pin li-po 70 watt-giờ


bộ tiếp hợp nguồn usb‑c 70w


cáp usb‑c sang magsafe 3


khả năng sạc nhanh với bộ tiếp hợp nguồn usb‑c 96w","m3




thời gian xem phim trên ứng dụng apple tv lên đến 22 giờ


thời gian duyệt web trên mạng không dây lên đến 15 giờ


pin li-po 70 watt-giờ


bộ tiếp hợp nguồn usb‑c 70w


cáp usb‑c sang magsafe 3


khả năng sạc nhanh với bộ tiếp hợp nguồn usb‑c 96w",1.55,macos,12,38990000,31.26,22.12,1.55,0,2,1,0,0
laptopworld,apple,macbook air m3 15.3inch mryt3sa,apple m3 8-core,n/a,8,n/a,512,ssd,fhd,15.3,2880x1864,60,n/a,"thời gian xem phim trên ứng dụng apple tv lên đến 18 giờ


thời gian duyệt web trên mạng không dây lên đến 15 giờ


pin li-po 66.5 watt-giờ


bộ tiếp hợp nguồn cổng usb-c kép 35w


cáp usb-c sang magsafe 3


khả năng sạc nhanh với bộ tiếp hợp nguồn usb-c 70w","thời gian xem phim trên ứng dụng apple tv lên đến 18 giờ


thời gian duyệt web trên mạng không dây lên đến 15 giờ


pin li-po 66,5 watt-giờ


bộ tiếp hợp nguồn cổng usb-c kép 35w


cáp usb-c sang magsafe 3


khả năng sạc nhanh với bộ tiếp hợp nguồn usb-c 70w",n/a,macos,12,37590000,n/a,n/a,n/a,0,2,0,0,0
laptopworld,apple,macbook air mgn63sa,apple m1 8-core,n/a,8,n/a,256,ssd,hd,13.3,retinadisplay13.3-inch(diagonal)led-backlitdisplaywithipstechnology;2560-by-1600nativeresolutionat227pixelsperinchwithsupportformillionsofcolorssupportedscaledresolutions:1680by10501440by9001024by640400nitsbrightnesswidecolor(p3)truetonetechnology,n/a,400,"up to 15 hours wireless web


up to 18 hours apple tv app movie playback


built-in 49.9‑watt‑hour lithium‑polymer battery


30w usb-c power adapter","up to 15 hours wireless web


up to 18 hours apple tv app movie playback


built-in 49.9‑watt‑hour lithium‑polymer battery


30w usb-c power adapter",n/a,macos,12,18590000,n/a,n/a,n/a,0,2,0,0,0
laptopworld,asus,laptop asus tuf gaming a15 fa506nf-hn005w,amd ryzen 5 7535hs,geforce rtx 2050,8,ddr5,512,ssd,hd,,1920x1080,144,250,48.0,3,2.2,windows 11 home,24,15790000,n/a,n/a,n/a,2,2,0,0,0
laptopworld,lenovo,laptop lenovo loq 15arp9 83jc003yvn,amd ryzen 7 7435hs,geforce rtx 4060,24,ddr5,n/a,n/a,hd,15.6,1920x1080,144,300,60.0,4,2.38,windows 11 home,24,27990000,n/a,n/a,n/a,3,1,1,1,1
laptopworld,lenovo,laptop lenovo legion 5 y7000p 2024,intel core i7-14700hx,geforce rtx 4070,16,ddr5,1024,ssd,fhd,16.0,2560x1600,165,n/a,80.0,4,2.43,windows 11 home,12,37490000,n/a,n/a,n/a,3,2,1,1,1
laptopworld,acer,laptop acer predator helios neo 2024 phn16-72-91rf,intel core i9-14900hx,geforce rtx 4060,16,ddr5,n/a,n/a,hd,16.0,2560x1600,240,500,90.0,4,2.6,windows,12,34990000,n/a,n/a,n/a,3,2,1,0,1
laptopworld,gigabyte,gigabyte g5 kf-e3vn313sh,intel core i5-12500h,geforce rtx 4060,16,ddr4,512,ssd,hd,15.6,1920x1080,144,n/a,54.0,54whrs,1.9,windows 11 home,24,25490000,n/a,n/a,n/a,3,0,1,1,1
laptopworld,gigabyte,gigabyte g5 kf-e3vn333sh,intel core i5-12500h,geforce rtx 4060,8,ddr4,512,ssd,hd,15.6,1920x1080,144,n/a,54.0,54whrs,1.9,windows 11 home,24,21990000,n/a,n/a,n/a,3,0,1,1,1
laptopworld,gigabyte,laptop gigabyte aorus 15 9mf-e2vn583sh,intel core i5-12500h,geforce rtx 4050,8,ddr5,512,ssd,fhd,15.6,1980x1080,360,n/a,99.0,99wh,2.25,windows 11 home,24,24490000,n/a,n/a,n/a,3,2,1,1,1
