source,brand,name,cpu,vga,ram_amount,ram_type,storage_amount,storage_type,webcam_resolution,screen_size,screen_resolution,screen_refresh_rate,screen_brightness,battery_capacity,battery_cells,weight,default_os,warranty,price,width,depth,height,number_usb_a_ports,number_usb_c_ports,number_hdmi_ports,number_ethernet_ports,number_audio_jacks
phongvu,asus,laptop asus zenbook s 14 ux5406sa-pv140ws,intel core ultra 7 258v,n/a,32,ddr5,1024,ssd,fhd,14.0,2880x1800,120,500,72.0,4,1.2,windows 11 home,24,44990000,31.03,21.47,1.19,0,1,1,0,0
phongvu,asus,laptop asus rog zephyrus g16 ga605wi 2024,amd ryzen ai 9 hx 370,geforce rtx 4070,16,ddr5,1024,ssd,fhd,16.0,2560x1600,240,n/a,90.0,4,1.85,windows 11 home,24,77990000,35.4,24.6,1.49,0,2,1,0,0
phongvu,asus,laptop asus vivobook 15x oled m3504ya-l1268w,amd ryzen 5 7530u,n/a,16,ddr4,512,ssd,hd,15.6,1920x1080,"15.6"" ( 1920 x 1080 ) full hd  16:9 , oled , không cảm ứng , 600 nits , 100% dci-p3",600,50.0,3,1.7,windows 11 home,24,14490000,35.97,23.25,1.79,0,1,1,0,0
phongvu,asus,laptop asus tuf gaming a14 2024,amd ryzen ai 9 hx 370,geforce rtx 4060,8,ddr5,1024,ssd,fhd,14.0,2560x1600,165,400,73.0,4,1.5,windows 11 home,24,42490000,31.1,22.7,1.69,0,2,1,0,0
phongvu,acer,laptop acer predator helios neo 14 phn14-51-96hg,intel core ultra 9 185h,geforce rtx 4070,32,ddr5,1024,ssd,hd,14.5,3072x1920,165,400,76.0,4,1.9,windows 11 home,12,58390000,32.41,25.54,1.95,0,2,1,0,0
phongvu,acer,laptop acer gaming aspire 7 a715-76g-5806,intel core i5-12450h,geforce rtx 3050,8,ddr4,512,ssd,hd,15.6,1920x1080,144,n/a,50.0,3,2.1,windows 11 home,12,18490000,36.23,23.74,1.99,0,3,1,0,0
phongvu,asus,laptop asus vivobook s 16 oled s5606ma-mx051w,intel core ultra 7 155h,n/a,16,ddr5,512,ssd,fhd,16.0,3200x2000,120,600,75.0,4,1.5,windows 11 home,24,27990000,35.36,24.69,1.39,0,2,1,0,0
phongvu,hp,laptop gaming hp victus 15-fb1022ax - 94f19pa,amd ryzen 5 7535hs,geforce rtx 2050,8,ddr5,512,ssd,hd,15.6,1920x1080,144,250,52.0,3,2.3,windows 11 home,12,18490000,35.79,25.5,2.35,0,1,1,0,0
phongvu,msi,laptop msi stealth 18 mercedes amg a1vhg-080vn,intel core ultra 9 185h,geforce rtx 4080,32,ddr5,2048,ssd,fhd,18.0,3840x2400,120,n/a,99.0,4,2.9,windows 11 home,24,99990000,40.0,28.97,2.4,0,1,1,0,0
phongvu,msi,laptop gaming msi stealth 16 mercedes-amg motorsport a13vg,intel core i9-13900h,geforce rtx 4070,16,ddr5,2048,ssd,fhd,16.0,3840x2400,"16"" ( 3840 x 2400 ) uhd+  16:10 , oled , không cảm ứng , 100% srgb",n/a,99.0,4,1.9,windows 11 home,24,77990000,35.58,25.97,1.99,0,1,1,0,0
