source,brand,name,cpu,vga,ram_amount,ram_type,storage_amount,storage_type,webcam_resolution,screen_size,screen_resolution,screen_refresh_rate,screen_brightness,battery_capacity,battery_cells,weight,default_os,warranty,price,width,depth,height,number_usb_a_ports,number_usb_c_ports,number_hdmi_ports,number_ethernet_ports,number_audio_jacks
phucanh,lenovo,lenovo thinkpad e14 gen 5,intel core i7-1355u,n/a,16,ddr4,512,ssd,yes,14.0,1920x1200,n/a,n/a,n/a,3,1.53,windows 11 home,24,25690000,31.3,31.3,21.9,0,1,1,1,1
phucanh,dell,dell inspiron 3530 n5i5340w1,intel core i5-1334u,n/a,16,ddr4,512,ssd,yes,15.6,1920x1080,120,250,41.0,3,1.66,windows 11 home,12,18990000,35.8,35.8,23.5,0,0,1,0,0
phucanh,asus,asus vivobook x1504za-nj517w,intel core i5-1235u,n/a,16,ddr4,512,ssd,yes,15.6,1920x1080,60,n/a,42.0,3,1.7,windows 11 home,n/a,16990000,35.97,35.97,2.33,3,0,1,0,1
phucanh,asus,asus vivobook go 15 e1504fa-nj454w,amd ryzen 5 7520u,n/a,16,ddr5,512,ssd,yes,15.6,1920x1080,60,n/a,42.0,3,1.8,windows 11 home,n/a,14190000,36.03,36.03,2.33,2,0,1,0,1
phucanh,lenovo,lenovo yoga slim 7 14imh9 83cv001uvn,intel core ultra 7 155h,n/a,32,ddr5,512,ssd,yes,14.0,1920x1200,n/a,400,65.0,n/a,1.39,windows 11 home,24,31990000,31.5,31.5,22.16,1,2,1,0,1
phucanh,lenovo,lenovo yoga slim 6 slim 14irh8 83e00008vn oled,intel core i7-13700h,n/a,16,ddr5,512,ssd,yes,14.0,1920x1200,n/a,400,65.0,n/a,1.35,windows 11 home,36,26990000,31.2,31.2,22.1,1,2,1,0,1
phucanh,hp,hp probook 460 g11 a74c3pt,intel core ultra 7 155h,n/a,16,ddr5,512,ssd,yes,16.0,1920x1200,60,n/a,n/a,3,1.39,windows 11 home,12,32990000,31.86,31.86,2.24,0,0,1,1,1
phucanh,asus,asus  rog rog strix g16 g614ju-n4132w,intel core i7-13650hx,geforce rtx 4050,16,ddr5,512,ssd,yes,16.0,2560x1600,240,500,90.0,4,2.5,windows 11 home,24,49990000,35.4,35.4,2.64,3,1,1,0,1
phucanh,lenovo,lenovo thinkpad x1 carbon gen 12 21kc009nvn,intel core ultra 5 125h,n/a,32,ddr5,1024,ssd,yes,14.0,1920x1200,n/a,400,57.0,n/a,1.09,windows 11 pro,36,52290000,31.2,31.2,21.4,2,2,1,0,1
phucanh,apple,apple macbook air m2 mlxy3sa/a,apple m2 8-core,n/a,8,n/a,256,ssd,yes,13.6,2560x1664,n/a,n/a,n/a,n/a,1.24,macos,n/a,31990000,30.41,30.41,2.15,0,2,0,0,1
phucanh,apple,apple macbook air m3 z1b6001h3,apple m3 8-core,n/a,n/a,n/a,256,ssd,yes,13.6,2560x1664,60,n/a,52.6,n/a,1.24,macos,12,34900000,30.41,30.41,2.15,0,2,0,0,1
phucanh,lenovo,lenovo thinkbook 14 g6 irl 21kg00rcvn,intel core i5-13420h,n/a,16,ddr5,512,ssd,yes,14.0,1920x1200,n/a,300,60.0,n/a,1.38,n/a,24,18990000,31.3,31.3,22.4,2,2,1,1,1
