source,brand,name,cpu,vga,ram_amount,ram_type,storage_amount,storage_type,webcam_resolution,screen_size,screen_resolution,screen_refresh_rate,screen_brightness,battery_capacity,battery_cells,weight,default_os,warranty,price,width,depth,height,number_usb_a_ports,number_usb_c_ports,number_hdmi_ports,number_ethernet_ports,number_audio_jacks
thegioididong,hp,hp 15 fd0234tu 9q969pa,intel core i5-1334u,n/a,16,ddr4,512,ssd,hd,15.6,1920x1080,60,250,41.0,3,1.59,windows 11 home,12,16790000,35.98,23.6,1.86,2,1,1,0,0
thegioididong,dell,dell inspiron 15 3520 n5i5052w1,intel core i5-1235u,n/a,16,ddr4,512,ssd,hd,15.6,1920x1080,120,250,41.0,3,1.66,windows 11 home,12,16990000,35.85,23.56,1.7,2,0,1,0,0
thegioididong,asus,asus vivobook go 15 e1504fa nj776w,amd ryzen 5 7520u,n/a,16,ddr5,512,ssd,hd,15.6,1920x1080,60,250,42.0,3,1.63,windows 11 home,24,14490000,36.03,23.25,1.79,1,1,1,0,0
thegioididong,lenovo,lenovo ideapad slim 3 15iah8 83er000evn,intel core i5-12450h,n/a,16,ddr5,512,ssd,hd,15.6,1920x1080,60,300,47.0,47 wh,1.62,windows 11 home,24,14490000,35.93,23.5,1.79,2,1,1,0,0
thegioididong,acer,acer aspire 3 a315 44p r9w8 nx.ksjsv.002,amd ryzen 7 5700u,n/a,8,ddr4,512,ssd,hd,15.6,1920x1080,60,n/a,50.0,3,1.7,windows 11 home,12,10690000,36.29,24.13,1.99,3,1,1,0,0
thegioididong,hp,hp 15 fc0085au a6vv8pa,amd ryzen 5 7430u,n/a,16,ddr4,512,ssd,hd,15.6,1920x1080,60,250,41.0,3,1.59,windows 11 home,12,13590000,35.98,23.6,1.86,2,1,1,0,1
thegioididong,asus,asus vivobook 15 oled a1505za ma415w,intel core i5-12500h,n/a,16,ddr4,512,ssd,hd,15.6,2880x1620,120,600,50.0,3,1.7,windows 11 home,24,17490000,35.68,22.76,1.99,2,1,1,0,0
thegioididong,apple,apple macbook air mgn63sa/a,apple m1,n/a,8,n/a,256,ssd,hd,13.3,2560x1600,n/a,400,lên đến 18 giờ,lên đến 18 giờ,1.29,macos,12,19790000,30.41,21.24,0.41,0,2,0,0,0
thegioididong,acer,acer aspire lite 14 51m 59bn nx.ktxsv.001,intel core i5-1235u,n/a,16,ddr5,512,ssd,hd,14.0,1920x1200,60,300,58.0,3,1.5,windows 11 home,12,13490000,31.33,21.8,1.69,0,1,1,0,0
thegioididong,lenovo,lenovo ideapad slim 3 15amn8 82xq00j0vn,amd ryzen 5 7520u,n/a,16,ddr5,512,ssd,hd,15.6,1920x1080,60,300,47.0,47 wh,1.62,windows 11 home,24,12490000,35.93,23.5,1.79,2,1,1,0,0
thegioididong,hp,hp 15 fd0303tu a2nl4pa,intel core i3-1315u,n/a,8,ddr4,512,ssd,hd,15.6,1920x1080,60,250,41.0,3,1.59,windows 11 home,12,11290000,35.98,23.6,1.86,2,1,1,0,1
thegioididong,asus,asus vivobook 15 x1504za nj102w,intel core i3-1215u,n/a,8,ddr4,512,ssd,hd,15.6,1920x1080,60,n/a,42.0,3,1.7,windows 11 home,24,12290000,35.97,23.25,1.79,2,1,1,0,0
thegioididong,acer,acer aspire 3 a314 42p nx.ksfsv.001,amd ryzen 7 5700u,n/a,16,ddr4,512,ssd,hd,14.0,1920x1200,60,n/a,50.0,3,1.4,windows 11 home,12,11990000,31.82,22.55,1.78,2,1,1,0,0
thegioididong,asus,asus vivobook x1404za nk376w,intel core i5-1235u,n/a,16,ddr4,512,ssd,hd,14.0,1920x1080,60,250,42.0,3,1.4,windows 11 home,24,16490000,32.49,21.39,1.79,2,1,1,0,0
thegioididong,dell,dell inspiron 15 3520,intel core i5-1235u,n/a,16,ddr4,512,ssd,hd,15.6,1920x1080,120,250,41.0,3,1.9,windows 11 home,12,16490000,35.85,23.56,1.9,2,0,1,0,0
thegioididong,hp,hp 240 g9 ag2j7at,intel core i5-1235u,n/a,16,ddr4,512,ssd,hd,14.0,1920x1080,60,250,41.0,3,1.47,windows 11 home,12,15990000,32.4,22.59,1.99,2,1,1,0,1
thegioididong,apple,apple macbook air mly33sa/a,apple m2,n/a,8,n/a,256,ssd,fhd,13.6,2560x1664,n/a,500,lên đến 18 giờ,lên đến 18 giờ,1.24,macos,12,23990000,30.41,21.5,1.13,0,2,0,0,0
thegioididong,acer,acer aspire 3 a315 58 529v nx.addsv.00n,intel core i5-1135g,n/a,8,ddr4,256,ssd,hd,15.6,1920x1080,60,220,36.7,2,1.7,windows 11 home,12,9990000,36.34,23.84,1.99,2,0,1,0,0
thegioididong,lenovo,lenovo gaming loq 15iax9 83gs000jvn,intel core i5-12450hx,geforce rtx 3050,16,ddr5,512,ssd,hd,15.6,1920x1080,144,300,60.0,60 wh,2.38,windows 11 home,24,22490000,35.99,25.87,2.39,3,1,1,0,0
thegioididong,hp,hp 245 g10 a20tdpt,amd ryzen 5 7530u,n/a,8,ddr4,512,ssd,hd,14.0,1920x1080,60,250,41.0,3,1.36,windows 11 home,12,12490000,32.4,21.5,1.79,2,1,1,0,1
thegioididong,asus,asus gaming vivobook k3605zf rp745w,intel core i5-12500h,geforce rtx 2050,16,ddr4,512,ssd,hd,16.0,1920x1200,144,300,50.0,3,1.8,windows 11 home,24,16990000,35.86,24.91,1.89,2,1,1,0,0
thegioididong,lenovo,lenovo gaming loq 15iax9 83gs00d9vn,intel core i5-12450hx,geforce rtx 3050,24,ddr5,512,ssd,hd,15.6,1920x1080,144,300,60.0,60 wh,2.38,windows 11 home,24,23490000,35.99,25.87,2.39,3,1,1,0,0
thegioididong,acer,acer aspire lite 14 51m 36mh nx.ktvsv.001,intel core i3-1215u,n/a,8,ddr5,256,ssd,hd,14.0,1920x1200,60,300,58.0,3,1.5,windows 11 home,12,9190000,31.33,21.8,1.69,0,1,1,0,0
thegioididong,msi,msi modern 15 b12mo 628vn,intel core i5-1235u,n/a,16,ddr4,512,ssd,hd,15.6,1920x1080,60,n/a,39.3,3,1.7,windows 11 home,24,12490000,35.9,24.1,1.99,1,1,1,0,0
thegioididong,asus,asus vivobook x1404za nk246w,intel core i3-1215u,n/a,8,ddr4,512,ssd,hd,14.0,1920x1080,60,250,42.0,3,1.4,windows 11 home,24,11990000,32.49,21.39,1.79,2,1,1,0,0
thegioididong,lenovo,lenovo ideapad 1 15alc7 82r400c1vn,amd ryzen 7 5700u,n/a,16,ddr4,512,ssd,hd,15.6,1920x1080,60,250,42.0,42 wh,1.61,windows 11 home,24,12990000,36.02,23.6,1.79,1,1,1,0,0
thegioididong,acer,acer aspire lite 14 51m 36pn nx.ktwsv.001,intel core i3-1215u,n/a,8,ddr5,512,ssd,hd,14.0,1920x1200,60,300,58.0,3,1.5,windows 11 home,12,9690000,31.33,21.8,1.69,0,1,1,0,0
thegioididong,dell,dell latitude 3440 l3440-i51235u-16g512g,intel core i5-1235u,n/a,16,ddr4,512,ssd,hd,14.0,1920x1080,60,250,41.0,3,1.54,windows 11 home,12,16990000,32.22,21.94,1.94,3,1,1,0,0
thegioididong,hp,hp gaming victus 15 fa1139tx 8y6w3pa,intel core i5-12450h,geforce rtx 2050,16,ddr4,512,ssd,hd,15.6,1920x1080,144,250,52.5,3,2.29,windows 11 home,12,18990000,35.79,25.5,2.35,2,1,1,0,0
thegioididong,hp,hp pavilion 15 eg3093tu 8c5l4pa,intel core i5-1335u,n/a,16,ddr4,512,ssd,hd,15.6,1920x1080,60,250,41.0,3,1.69,windows 11 home,12,18990000,36.02,23.4,1.8,2,1,1,0,0
thegioididong,msi,msi gaming gf63 thin 12ve 460vn,intel core i5-12450h,geforce rtx 4050,16,ddr4,512,ssd,hd,15.6,1920x1080,144,n/a,52.4,3,1.86,windows 11 home,12,18990000,35.9,25.4,2.17,3,1,1,0,0
