source,brand,name,cpu,vga,ram_amount,ram_type,storage_amount,storage_type,webcam_resolution,screen_size,screen_resolution,screen_refresh_rate,screen_brightness,battery_capacity,battery_cells,weight,default_os,warranty,price,width,depth,height,number_usb_a_ports,number_usb_c_ports,number_hdmi_ports,number_ethernet_ports,number_audio_jacks
thegioididong,asus,asus vivobook go 15 e1504fa nj776w,amd ryzen 5 7520u,n/a,16,ddr5,512,ssd,yes,15.6,1920x1080,60,250,42.0,3,1.63,windows 11 home,n/a,14490000,36.03,23.25,1.79,1,0,1,0,0
thegioididong,dell,dell inspiron 15 3520 n5i5052w1,intel core i5-1235u,n/a,16,ddr4,512,ssd,yes,15.6,1920x1080,120,250,41.0,3,1.66,windows 11 home,n/a,16990000,35.85,23.56,1.7,2,0,1,0,0
thegioididong,lenovo,lenovo ideapad slim 3 15iah8 83er000evn,intel core i5-12450h,n/a,16,ddr5,512,ssd,yes,15.6,1920x1080,60,300,47.0,n/a,1.62,windows 11 home,n/a,14290000,35.93,23.5,1.79,2,1,1,0,0
thegioididong,acer,acer aspire 3 a315 44p r9w8 nx.ksjsv.002,amd ryzen 7 5700u,n/a,8,ddr4,512,ssd,yes,15.6,1920x1080,60,n/a,50.0,3,1.7,windows 11 home,n/a,10690000,36.29,24.13,1.99,3,0,1,0,0
thegioididong,hp,hp 15 fd0234tu 9q969pa,intel core i5-1334u,n/a,16,ddr4,512,ssd,yes,15.6,1920x1080,60,250,41.0,3,1.59,windows 11 home,n/a,19790000,35.98,23.6,1.86,2,0,1,0,0
thegioididong,hp,hp 15 fc0085au a6vv8pa,amd ryzen 5 7430u,n/a,16,ddr4,512,ssd,yes,15.6,1920x1080,60,250,41.0,3,1.59,windows 11 home,n/a,15190000,35.98,23.6,1.86,0,0,1,0,1
thegioididong,asus,asus vivobook 15 x1504za nj102w,intel core i3-1215u,n/a,8,ddr4,512,ssd,yes,15.6,1920x1080,60,n/a,42.0,3,1.7,windows 11 home,n/a,12290000,35.97,23.25,1.79,2,0,1,0,0
thegioididong,apple,apple macbook air mgn63sa/a,apple m1,n/a,8,n/a,256,ssd,yes,13.3,2560x1600,n/a,400,n/a,n/a,1.29,macos,n/a,19990000,30.41,21.24,0.41,0,2,0,0,0
thegioididong,acer,acer aspire lite 14 51m 59bn nx.ktxsv.001,intel core i5-1235u,n/a,16,ddr5,512,ssd,yes,14.0,1920x1200,60,300,58.0,3,1.5,windows 11 home,n/a,13490000,31.33,21.8,1.69,0,0,1,0,0
thegioididong,lenovo,lenovo ideapad 1 15alc7 82r400c1vn,amd ryzen 7 5700u,n/a,16,ddr4,512,ssd,yes,15.6,1920x1080,60,250,42.0,n/a,1.61,windows 11 home,n/a,12790000,36.02,23.6,1.79,1,0,1,0,0
