source,brand,name,cpu,vga,ram_amount,ram_type,storage_amount,storage_type,webcam_resolution,screen_size,screen_resolution,screen_refresh_rate,screen_brightness,battery_capacity,battery_cells,weight,default_os,warranty,price,width,depth,height,number_usb_a_ports,number_usb_c_ports,number_hdmi_ports,number_ethernet_ports,number_audio_jacks
nguyenkim,dell,dell inspiron 15 3530 i3-1305u/16gb/512gb/win11 (n3530-i3u165w11slu),intel core i3-1305u,n/a,16,ddr4,512,ssd,yes,15.6,1920x1080,n/a,n/a,41.0,3,1.6,windows 11 home,12,13890000,35.8,23.5,1.9,1,0,1,0,1
nguyenkim,dell,dell vostro 14 3430 i5-1335u/16gb/512gb/win11 (60ygm1),intel core i5-1335u,geforce mx550,16,ddr4,512,ssd,yes,14.0,1920x1080,120,n/a,41.0,3,1.49,windows 11 home,12,18990000,32.37,22.03,1.95,1,0,1,0,1
nguyenkim,dell,dell inspiron 14 5420 i5-1235u/16gb/512gb/win11 (dgdcg1),intel core i5-1235u,geforce mx 570,16,ddr4,512,ssd,yes,14.0,1920x1200,n/a,n/a,54.0,4,1.53,windows 11 home,12,20990000,31.4,22.75,1.84,0,2,1,0,1
nguyenkim,acer,acer aspire 3 a314-23m-r4tx r5-7520u/8gb/512gb/win11 (nx.kexsv.001),amd ryzen 5 7520u,n/a,8,ddr5,512,ssd,yes,14.0,1920x1080,n/a,n/a,40.0,40wh li-ion,1.4,windows 11 home,12,10990000,32.83,21.71,1.8,0,1,1,0,1
nguyenkim,hp,hp victus gaming 15-fa1091tx i5-13420h/8gb/512gb/win11 (8c5m8pa),intel core i5-13420h,geforce rtx 2050 ;,8,ddr4,512,ssd,yes,15.6,1920x1080,n/a,n/a,52.5,3,2.22,windows 11 home,12,20990000,35.7,25.5,2.35,0,1,1,0,1
nguyenkim,hp,hp pavilion 15-eg3091tu i7-1355u/16gb/512gb/win11 (8c5l2pa),intel core i7-1355u,n/a,16,ddr4,512,ssd,yes,15.6,1920x1080,n/a,n/a,41.0,3,1.74,windows,12,22990000,36.02,23.4,1.79,0,1,1,0,0
nguyenkim,asus,asus vivobook 15 i5-1335u/16gb/512gb/win11 (x1504va-nj070w),intel core i5-1335u,n/a,16,ddr4,512,ssd,yes,15.6,1920x1080,n/a,n/a,42.0,3,1.7,windows 11 home,24,15990000,35.97,23.25,1.79,0,1,1,0,0
nguyenkim,acer,acer aspire 5 a514-56p-742f i7-1355u/16gb/512gb/win11 (nx.khrsv.005),intel core i7-1355u,n/a,16,ddr5,512,ssd,yes,14.0,1920x1200,n/a,n/a,50.0,3,1.5,windows 11 home,12,17990000,31.88,22.55,1.8,2,0,1,0,1
nguyenkim,dell,dell inspiron 14 5440 intel core 5-120u/16gb/512gb/win11 (n4i5211w1),intel core 5 120u,n/a,16,ddr5,512,ssd,yes,14.0,1920x1200,60,n/a,54.0,4,1.67,windows 11 home,12,23990000,31.4,22.62,1.81,0,2,1,0,1
nguyenkim,asus,asus vivobook s 14 flip i9-13900h/16gb/512gb/win11 (tp3402va-lz118w),intel core i9-13900h,n/a,16,ddr4,512,ssd,yes,14.0,1920x1200,n/a,n/a,50.0,3,1.5,windows 11 home,24,23490000,31.32,22.76,1.89,0,1,1,0,0
